gen,filename,PCE,donor
8,39_100_27,17.483970,PBCT-2F,
8,39_21_39,17.449371,PBCT-2F,
8,39_92_39,17.403782,PBCT-2F,
8,39_104_29,17.385026,PBCT-2F,
8,39_100_38,17.378662,PBCT-2F,
8,39_100_29,17.306808,PBCT-2F,
8,39_24_29,17.286377,PBCT-2F,
8,39_100_35,17.244961,PBCT-2F,
8,65_100_6,16.992478,PBCT-2F,
8,39_26_29,16.961185,PBCT-2F,
8,39_100_20,16.846187,PBCT-2F,
8,39_92_62,16.770927,PBCT-2F,
8,65_100_27,16.683390,PBCT-2F,
8,65_100_38,16.496974,PBCT-2F,
8,39_92_29,16.428987,PBCT-2F,
8,65_26_29,16.221407,PBCT-2F,
8,39_61_39,16.118426,PBB-F,
8,39_92_16,15.989442,PBCT-2F,
8,39_137_27,15.409070,PBCT-2F,
8,39_29_29,15.107977,PBB-F,
8,39_29_29,15.107977,PBB-F,
8,57_100_20,15.105749,PBCT-2F,
8,48_92_62,15.036808,PBCT-2F,
8,65_21_18,14.996123,PBCT-2F,
8,39_129_29,14.481998,PBB-F,
9,39_100_39,18.661747,PBCT-2F,
9,39_100_39,18.661747,PBCT-2F,
9,39_26_39,18.229216,PBCT-2F,
9,65_100_39,17.831325,PBCT-2F,
9,39_100_62,17.787624,PBCT-2F,
9,39_100_0,17.762161,PBCT-2F,
9,39_100_6,17.645229,PBCT-2F,
9,39_100_60,17.530303,PBCT-2F,
9,39_100_27,17.483970,PBCT-2F,
9,39_21_39,17.449371,PBCT-2F,
9,39_92_39,17.403782,PBCT-2F,
9,39_104_29,17.385026,PBCT-2F,
9,39_100_38,17.378662,PBCT-2F,
9,39_104_27,17.361869,PBCT-2F,
9,39_24_46,17.361716,PBCT-2F,
9,39_100_29,17.306808,PBCT-2F,
9,39_24_29,17.286377,PBCT-2F,
9,39_100_35,17.244961,PBCT-2F,
9,39_104_17,17.018506,PBCT-2F,
9,65_100_6,16.992478,PBCT-2F,
9,62_100_29,16.752180,PBCT-2F,
9,39_52_39,16.714393,PBCT-2F,
9,65_100_27,16.683390,PBCT-2F,
9,65_100_35,16.430765,PBCT-2F,
9,25_104_29,16.266754,PBCT-2F,
9,39_92_45,16.157359,PBCT-2F,
9,65_92_65,15.913571,PBCT-2F,
9,39_62_62,15.409301,PBCT-2F,
9,3_92_29,14.840248,PBCT-2F,
9,39_6_6,14.581394,PBB-F,
9,39_38_38,14.561006,PBB-F,
9,39_27_27,14.511129,PBCT-2F,
10,39_100_39,18.661747,PBCT-2F,
10,39_100_39,18.661747,PBCT-2F,
10,39_132_39,18.257990,PBCT-2F,
10,39_26_39,18.229216,PBCT-2F,
10,39_108_39,17.866924,PBCT-2F,
10,65_100_39,17.831325,PBCT-2F,
10,39_100_62,17.787624,PBCT-2F,
10,39_100_0,17.762161,PBCT-2F,
10,39_100_6,17.645229,PBCT-2F,
10,39_100_60,17.530303,PBCT-2F,
10,39_100_27,17.483970,PBCT-2F,
10,39_21_39,17.449371,PBCT-2F,
10,39_104_33,17.429007,PBCT-2F,
10,39_100_47,17.420860,PBCT-2F,
10,39_92_39,17.403782,PBCT-2F,
10,39_104_29,17.385026,PBCT-2F,
10,39_100_38,17.378662,PBCT-2F,
10,39_104_27,17.361869,PBCT-2F,
10,39_24_46,17.361716,PBCT-2F,
10,39_24_54,17.321508,PBCT-2F,
10,39_100_29,17.306808,PBCT-2F,
10,39_104_60,17.285862,PBCT-2F,
10,39_26_27,17.165046,PBCT-2F,
10,39_100_52,17.121489,PBCT-2F,
10,9_100_6,16.912650,PBCT-2F,
10,39_100_20,16.846187,PBCT-2F,
10,39_21_27,16.358674,PBCT-2F,
10,30_100_27,16.300436,PBCT-2F,
10,39_92_31,15.820676,PBCT-2F,
10,39_70_27,15.172256,PBB-F,
10,39_29_29,15.107977,PBB-F,
10,39_18_27,14.856859,PBB-F,
11,39_100_39,18.661747,PBCT-2F,
11,39_100_39,18.661747,PBCT-2F,
11,39_104_39,18.479242,PBCT-2F,
11,39_132_39,18.257990,PBCT-2F,
11,39_26_39,18.229216,PBCT-2F,
11,39_108_39,17.866924,PBCT-2F,
11,65_100_39,17.831325,PBCT-2F,
11,39_100_62,17.787624,PBCT-2F,
11,39_100_0,17.762161,PBCT-2F,
11,39_100_6,17.645229,PBCT-2F,
11,39_100_66,17.642550,PBCT-2F,
11,39_100_60,17.530303,PBCT-2F,
11,39_100_27,17.483970,PBCT-2F,
11,39_21_39,17.449371,PBCT-2F,
11,39_104_33,17.429007,PBCT-2F,
11,39_100_47,17.420860,PBCT-2F,
11,39_92_39,17.403782,PBCT-2F,
11,39_104_29,17.385026,PBCT-2F,
11,39_100_58,17.180173,PBCT-2F,
11,39_100_8,17.168423,PBCT-2F,
11,39_132_29,17.098865,PBCT-2F,
11,39_132_29,17.098865,PBCT-2F,
11,44_26_39,17.030925,PBCT-2F,
11,39_100_57,16.991692,PBCT-2F,
11,65_100_0,16.904411,PBCT-2F,
11,39_100_21,16.816148,PBCT-2F,
11,39_60_60,16.027165,PBCT-2F,
11,39_60_60,16.027165,PBCT-2F,
11,65_92_24,15.092882,PBCT-2F,
11,39_33_33,14.940763,PBB-F,
11,39_80_60,14.556007,PBB-F,
11,39_17_33,14.434596,PBB-F,
12,39_100_39,18.661747,PBCT-2F,
12,39_100_39,18.661747,PBCT-2F,
12,39_130_39,18.615218,PBCT-2F,
12,39_104_39,18.479242,PBCT-2F,
12,39_118_39,18.263954,PBCT-2F,
12,39_132_39,18.257990,PBCT-2F,
12,39_26_39,18.229216,PBCT-2F,
12,39_108_39,17.866924,PBCT-2F,
12,65_100_39,17.831325,PBCT-2F,
12,39_100_62,17.787624,PBCT-2F,
12,39_100_0,17.762161,PBCT-2F,
12,39_100_6,17.645229,PBCT-2F,
12,39_100_66,17.642550,PBCT-2F,
12,39_100_60,17.530303,PBCT-2F,
12,39_100_27,17.483970,PBCT-2F,
12,39_21_39,17.449371,PBCT-2F,
12,39_104_33,17.429007,PBCT-2F,
12,39_100_47,17.420860,PBCT-2F,
12,39_100_68,17.229502,PBCT-2F,
12,39_132_27,17.187260,PBCT-2F,
12,39_100_2,17.145172,PBCT-2F,
12,39_100_53,17.047328,PBCT-2F,
12,51_100_39,17.027463,PBCT-2F,
12,65_100_33,16.941879,PBCT-2F,
12,39_108_66,16.805319,PBCT-2F,
12,39_108_66,16.805319,PBCT-2F,
12,39_26_3,16.716522,PBCT-2F,
12,65_21_39,16.633988,PBCT-2F,
12,2_100_33,16.003575,PBCT-2F,
12,39_66_66,15.523563,PBCT-2F,
12,39_47_47,14.849557,PBCT-2F,
12,39_46_33,14.602141,PBB-F,
13,39_100_39,18.661747,PBCT-2F,
13,39_100_39,18.661747,PBCT-2F,
13,39_130_39,18.615218,PBCT-2F,
13,39_104_39,18.479242,PBCT-2F,
13,39_118_39,18.263954,PBCT-2F,
13,39_132_39,18.257990,PBCT-2F,
13,39_26_39,18.229216,PBCT-2F,
13,39_108_39,17.866924,PBCT-2F,
13,65_100_39,17.831325,PBCT-2F,
13,39_100_62,17.787624,PBCT-2F,
13,39_100_0,17.762161,PBCT-2F,
13,39_100_6,17.645229,PBCT-2F,
13,39_100_66,17.642550,PBCT-2F,
13,39_100_25,17.622541,PBCT-2F,
13,39_134_39,17.540764,PBCT-2F,
13,39_100_60,17.530303,PBCT-2F,
13,39_100_27,17.483970,PBCT-2F,
13,39_21_39,17.449371,PBCT-2F,
13,39_132_62,17.433648,PBCT-2F,
13,39_118_62,17.353879,PBCT-2F,
13,39_100_11,17.276219,PBCT-2F,
13,30_132_39,17.029902,PBCT-2F,
13,65_100_54,16.924523,PBCT-2F,
13,65_100_0,16.904411,PBCT-2F,
13,39_100_51,16.880135,PBCT-2F,
13,53_132_39,16.692519,PBCT-2F,
13,49_100_27,16.688850,PBCT-2F,
13,39_108_60,16.667978,PBCT-2F,
13,39_108_54,16.597153,PBCT-2F,
13,65_26_65,16.319943,PBCT-2F,
13,4_21_39,16.274402,PBCT-2F,
13,65_39_39,15.114761,PBCT-2F,
14,39_100_39,18.661747,PBCT-2F,
14,39_100_39,18.661747,PBCT-2F,
14,39_130_39,18.615218,PBCT-2F,
14,39_104_39,18.479242,PBCT-2F,
14,39_118_39,18.263954,PBCT-2F,
14,39_132_39,18.257990,PBCT-2F,
14,39_26_39,18.229216,PBCT-2F,
14,39_108_39,17.866924,PBCT-2F,
14,65_100_39,17.831325,PBCT-2F,
14,39_100_62,17.787624,PBCT-2F,
14,39_100_0,17.762161,PBCT-2F,
14,39_100_6,17.645229,PBCT-2F,
14,39_100_66,17.642550,PBCT-2F,
14,39_100_25,17.622541,PBCT-2F,
14,39_134_39,17.540764,PBCT-2F,
14,39_100_60,17.530303,PBCT-2F,
14,46_132_39,17.105961,PBCT-2F,
14,39_101_39,17.043917,PBCT-2F,
14,39_108_0,16.871256,PBCT-2F,
14,39_108_27,16.750895,PBCT-2F,
14,39_104_19,16.749101,PBCT-2F,
14,61_100_6,16.717952,PBCT-2F,
14,62_134_39,16.650800,PBCT-2F,
14,39_108_30,16.633510,PBCT-2F,
14,39_118_53,16.532510,PBCT-2F,
14,39_104_21,16.412219,PBCT-2F,
14,44_100_25,16.282441,PBCT-2F,
14,39_134_45,16.217243,PBCT-2F,
