gen,filename,PCE,donor
23,64_51_28,15.834367,D18,
23,64_51_1,15.804270,D18,
23,64_51_1,15.804270,D18,
23,28_51_0,15.689542,D18,
23,66_51_66,15.591469,D18,
23,66_51_66,15.591469,D18,
23,66_51_66,15.591469,D18,
23,28_34_28,15.416802,PBQx-TF,
23,9_51_9,15.342290,D18,
23,28_34_34,15.241686,PBQx-TF,
23,37_51_57,15.102996,D18,
23,66_109_0,13.177147,D18,
24,64_51_0,16.352097,D18,
24,61_51_0,16.240479,PBDB-TF,
24,64_51_9,16.180554,D18,
24,66_51_61,16.150462,D18,
24,66_51_28,16.128192,D18,
24,66_51_0,16.110812,D18,
24,64_51_64,16.096771,D18,
24,64_51_64,16.096771,D18,
24,64_51_64,16.096771,D18,
24,9_51_0,16.043710,D18,
24,9_51_61,16.043082,D18,
24,66_51_34,16.038354,D18,
24,9_51_64,15.989156,D18,
24,64_51_61,15.978183,D18,
24,64_51_61,15.978183,D18,
24,28_51_28,15.973630,D18,
24,28_51_28,15.973630,D18,
24,15_51_61,15.963937,D18,
24,28_51_56,15.863774,D18,
24,64_51_28,15.834367,D18,
24,28_51_61,15.752956,D18,
24,28_51_61,15.752956,D18,
24,64_51_34,15.560123,D18,
24,28_51_9,15.458038,D18,
24,61_51_28,15.425451,D18,
24,39_51_28,15.422320,PBQx-TF,
24,64_51_55,15.104293,D18,
24,15_51_15,14.924688,PBQx-TF,
24,15_51_9,14.505534,PBQx-TF,
24,66_64_64,13.647881,D18,
24,15_61_61,13.022227,D18,
24,64_61_61,13.007319,PBB-F,
25,64_51_0,16.352097,D18,
25,61_51_0,16.240479,PBDB-TF,
25,64_51_9,16.180554,D18,
25,66_51_61,16.150462,D18,
25,66_51_28,16.128192,D18,
25,66_51_0,16.110812,D18,
25,64_51_64,16.096771,D18,
25,64_51_64,16.096771,D18,
25,64_51_64,16.096771,D18,
25,9_51_0,16.043710,D18,
25,9_51_61,16.043082,D18,
25,66_51_34,16.038354,D18,
25,66_51_64,15.994503,D18,
25,66_51_64,15.994503,D18,
