donor,best PCE
260_99_010001,18.883633
824_5_101111,18.883396
1050_61_110001,18.88128
751_61_110011,18.879817
1050_85_100111,18.877476
1050_61_111001,18.863897
100_435_100101,18.863188
447_99_000111,18.860542
1118_61_110101,18.860259
579_5_110011,18.858774
100_204_011100,18.85663
100_105_101100,18.854039
1050_61_101101,18.85203
1050_61_100101,18.849066
276_99_010011,18.846613
1118_61_101101,18.845901
121_35_110111,18.841557
934_61_100111,18.838163
655_61_111101,18.834925
1050_5_111011,18.834618
121_61_110110,18.833971
687_61_001111,18.827767
100_600_110010,18.827496
121_61_101101,18.825243
576_99_010010,18.824457
100_81_101010,18.823646
1084_61_101111,18.821155
655_61_111011,18.813864
121_5_111011,18.811558
920_61_011011,18.809649
260_99_100010,18.808087
920_61_010111,18.803313
824_170_110011,18.803195
1050_61_101001,18.798912
260_99_101000,18.798201
942_61_110111,18.798081
1050_1156_111001,18.792989
824_61_111001,18.786705
824_5_110111,18.78507
121_99_100100,18.784711
1050_488_101111,18.780776
577_61_110001,18.77626
824_61_110101,18.772327
235_61_110011,18.766791
1050_61_100110,18.765411
121_99_001001,18.759805
577_61_010111,18.759247
687_61_110110,18.759111
1050_61_011001,18.753552
1050_61_011011,18.753153
100_989_110011,18.750955
112_61_100011,18.747791
1050_35_001111,18.74446
920_61_010011,18.743472
121_5_110011,18.743233
184_61_100111,18.742885
1145_99_001011,18.741851
920_61_100110,18.741803
260_99_010100,18.735252
1050_61_101011,18.728859
121_61_101011,18.728154
184_61_110110,18.727631
751_61_111100,18.727399
920_99_001100,18.726689
100_497_010110,18.724155
383_99_101010,18.719869
824_5_111101,18.719095
1050_61_011101,18.718925
185_61_101101,18.718566
185_61_110101,18.716432
34_61_110011,18.715886
100_611_000111,18.715476
1118_61_100111,18.699139
185_61_011011,18.698438
687_61_101101,18.694055
576_99_100100,18.693809
121_61_001111,18.693193
260_99_011000,18.689523
100_284_010110,18.684328
1050_61_111100,18.677739
100_602_100011,18.677642
121_61_100111,18.673616
1050_61_111000,18.670961
399_99_010000,18.670818
577_61_110011,18.67007
657_61_111101,18.669958
1050_61_110110,18.668779
34_61_111011,18.665173
185_61_110011,18.663992
687_61_111001,18.663902
1050_61_010111,18.662751
17_61_101011,18.661628
100_498_010110,18.653606
687_99_001010,18.650239
824_61_001111,18.649354
1118_61_110110,18.645221
121_61_101110,18.643448
121_61_110101,18.635988
687_61_011110,18.635493
100_982_000111,18.634351
121_61_110011,18.631152
1050_61_001011,18.628031
959_61_110011,18.625415
1161_61_110110,18.621403
934_99_001100,18.621333
824_61_110110,18.616884
687_61_100111,18.611147
185_61_101011,18.610775
100_1120_010110,18.610631
260_99_000110,18.598667
934_61_001111,18.597541
751_61_100110,18.594598
824_524_110111,18.590523
687_99_000110,18.584444
365_61_110011,18.583062
17_61_110101,18.578923
383_99_101100,18.573825
1118_61_111100,18.568746
185_61_001111,18.568528
260_99_001100,18.567932
1050_830_111101,18.565195
824_61_101101,18.563046
121_61_011101,18.562816
751_61_110001,18.562742
215_99_010010,18.562185
121_61_011110,18.559312
1050_61_010010,18.558988
34_61_011011,18.557282
824_61_110001,18.548284
824_61_110100,18.545371
121_61_111100,18.544743
1035_61_110001,18.540103
24_61_100110,18.539157
121_61_111001,18.535564
682_61_110101,18.52986
185_61_100011,18.524901
1050_61_001101,18.521279
100_312_100011,18.520639
1024_139_100111,18.519988
1050_61_011010,18.514608
934_61_100101,18.509104
687_99_011000,18.508303
121_61_100110,18.506301
121_61_111010,18.503183
383_99_100101,18.502007
121_61_010111,18.500022
1050_61_100010,18.49904
327_61_110011,18.498968
1050_61_010101,18.489739
24_61_010101,18.489423
687_99_100100,18.484028
1050_61_101100,18.479116
824_5_110001,18.473726
121_61_110010,18.470217
824_61_111000,18.46597
1050_680_001111,18.465493
121_61_011011,18.461934
1118_61_110011,18.461363
1050_443_100111,18.45687
824_5_101010,18.456154
235_61_100110,18.454384
687_61_100011,18.44393
325_61_110011,18.440973
577_61_100110,18.436928
100_949_101100,18.436416
1050_61_110010,18.436363
17_61_011001,18.430777
235_61_110001,18.430225
185_61_111000,18.425939
657_61_110011,18.424122
121_61_101001,18.4174
934_61_011010,18.413792
1050_61_001110,18.41282
260_291_110011,18.411702
687_61_011011,18.409644
824_61_000111,18.405263
1050_61_001010,18.402482
1208_61_110001,18.399182
100_238_001110,18.397718
184_61_011110,18.393836
1118_5_111100,18.388271
920_61_101100,18.387857
577_61_000111,18.38743
121_27_101111,18.379361
100_893_110010,18.377645
577_61_111000,18.372207
235_1156_110011,18.368472
121_61_110100,18.366023
185_61_000111,18.365139
399_65_100111,18.364261
1118_61_110001,18.363615
824_61_010101,18.356242
235_61_101001,18.35536
100_179_001110,18.355229
1118_61_111001,18.346929
100_257_010110,18.34657
577_61_011001,18.346099
751_61_010001,18.343715
577_894_111011,18.343534
1024_99_011000,18.343327
100_192_100011,18.34283
276_61_100111,18.341047
17_61_110010,18.339841
100_106_101010,18.332644
100_374_100111,18.332443
1024_99_000011,18.331731
934_658_100111,18.330587
121_61_111000,18.324554
824_491_110011,18.32223
824_61_001101,18.319686
1050_61_101000,18.314855
100_614_100011,18.312665
185_61_011001,18.312078
112_61_111000,18.30645
809_99_010110,18.305298
121_61_010011,18.297418
1050_61_010100,18.294434
17_61_011100,18.291014
674_6_110100,18.290472
687_61_101001,18.284853
824_140_110011,18.277342
1118_61_001110,18.275607
1050_61_000110,18.275485
934_61_100010,18.274938
185_443_110111,18.274196
920_262_100111,18.272875
235_61_100101,18.26994
1050_443_111001,18.263422
824_61_001110,18.262692
1050_61_100100,18.257302
824_750_111011,18.256505
1050_99_010000,18.256292
17_286_111101,18.252707
327_61_111010,18.252463
1118_5_110011,18.25213
1118_61_110010,18.249419
959_61_010101,18.246947
1050_750_100111,18.244117
576_62_001111,18.244028
1050_61_000101,18.243344
121_61_110001,18.243051
100_378_010110,18.240331
100_1051_100011,18.238613
121_61_001110,18.235228
100_362_110010,18.232141
260_14_111101,18.231099
687_99_100001,18.231093
100_204_101100,18.230451
184_61_011010,18.229268
577_61_101100,18.228242
121_61_101100,18.226258
824_870_111011,18.224913
1024_99_010100,18.222392
1024_99_010010,18.216821
121_40_110100,18.215623
1050_61_011000,18.214849
121_61_101010,18.210481
959_61_000101,18.210174
1050_535_111011,18.208246
100_180_011011,18.204398
687_61_011001,18.202546
687_61_100101,18.202416
920_1142_110011,18.200607
100_567_111101,18.197864
