gen,filename,PCE,donor
28,65_28_130_28_39,18.556861,PBB-F
30,39_28_130_28_65,18.548048,PBB-F
53,39_130_130_130_20,18.546717,PBB-F
73,39_130_130_130_60,18.546317,PBB-F
37,39_130_130_130_64,18.544969,PBB-F
33,39_130_130_130_12,18.515849,PBB-F
34,39_42_130_28_39,18.496965,PBB-F
65,39_130_130_130_48,18.494605,PBB-F
80,39_130_130_130_26,18.480627,PBB-F
99,39_130_130_130_21,18.461885,PBB-F
66,39_130_130_130_43,18.44189,PBB-F
94,39_28_130_28_32,18.432061,PBB-F
52,39_130_130_130_4,18.429366,PBB-F
100,39_130_130_130_61,18.420063,PBB-F
50,39_130_130_130_11,18.414306,PBB-F
85,39_130_130_130_53,18.412834,PBB-F
28,39_28_130_28_9,18.395588,PBB-F
50,39_130_130_130_52,18.39364,PBB-F
84,39_130_130_130_59,18.391976,PBB-F
37,39_130_130_130_17,18.390776,PBB-F
34,39_28_130_28_66,18.358988,PBB-F
24,39_28_130_28_1,18.353075,PBB-F
30,39_28_130_28_21,18.352977,PBB-F
83,39_28_130_28_49,18.349662,PBB-F
29,39_28_130_28_12,18.34966,PBB-F
62,39_28_130_28_60,18.349247,PBB-F
54,39_130_130_130_35,18.341149,PBB-F
90,39_28_130_28_28,18.33762,PBB-F
91,39_130_130_130_13,18.335671,PBB-F
55,39_130_130_130_37,18.333501,PBB-F
27,1_28_130_28_39,18.329348,PBB-F
44,39_130_130_130_58,18.315001,PBB-F
53,39_130_130_130_34,18.301974,PBB-F
83,39_130_130_130_45,18.298143,PBB-F
27,12_28_130_28_39,18.284965,PBB-F
81,39_130_130_130_18,18.277048,PBB-F
33,39_28_130_28_38,18.276761,PBB-F
44,39_130_130_130_67,18.261583,PBB-F
44,39_130_130_130_42,18.201853,PBB-F
43,39_28_130_28_43,18.194272,PBB-F
52,39_130_130_130_23,18.188087,PBB-F
95,39_28_130_28_35,18.152159,PBB-F
92,39_130_130_130_19,18.144947,PBB-F
54,39_28_130_28_41,18.143505,PBB-F
71,39_130_130_130_22,18.142419,PBB-F
33,39_130_130_130_5,18.13987,PBB-F
54,39_130_130_130_24,18.113458,PBB-F
41,39_130_130_130_31,18.105533,PBB-F
47,39_28_130_28_7,18.09162,PBB-F
59,39_130_130_130_51,18.056631,PBB-F
84,39_28_130_28_18,18.031897,PBB-F
28,39_28_130_28_67,18.010312,PBB-F
33,39_28_123_28_39,18.010263,PBB-F
39,39_28_130_28_40,18.004998,PBB-F
69,39_28_130_28_23,17.990247,PBB-F
76,39_130_127_130_48,17.983121,PBB-F
53,39_28_130_28_19,17.950839,PBB-F
95,39_130_130_130_16,17.906496,PBB-F
29,24_28_130_28_39,17.892346,PBB-F
45,39_28_130_28_16,17.886249,PBB-F
46,39_28_130_28_57,17.869834,PBB-F
51,39_28_42_28_39,17.860232,PBB-F
49,62_130_130_130_62,17.806461,PBB-F
27,39_28_130_28_24,17.76765,PBB-F
45,39_50_29_28_39,17.739058,PBB-F
52,39_28_127_28_12,17.738732,PBB-F
37,39_56_65_28_39,17.733297,PBB-F
32,65_130_130_130_65,17.724026,PBB-F
100,25_130_130_130_25,17.720332,PBB-F
29,62_130_130_28_62,17.718599,PBB-F
50,39_130_130_30_9,17.691097,PBB-F
89,25_28_130_130_25,17.686009,PBB-F
65,39_28_127_28_10,17.674888,PBB-F
72,39_130_130_163_25,17.66087,PBB-F
42,39_130_130_147_44,17.655897,PBB-F
57,39_130_130_71_46,17.654135,PBB-F
89,39_28_127_28_35,17.647846,PBB-F
