acceptor,best PCE
39_130_166_28_39,18.853242
39_130_130_17_39,18.849251
39_126_54,18.845999
39_153_114_28_39,18.845488
39_130_5_130_39,18.844573
39_28_71_130_39,18.844197
39_133_130_133_39,18.843891
39_83_62,18.840562
39_28_86_28_3,18.840168
39_28_86_28_7,18.833601
39_130_130_130_65,18.833067
39_120_130_130_39,18.831779
39_106_130_130_39,18.831413
39_41_130_130_39,18.831225
39_28_33_130_39,18.831125
39_53_130_28_39,18.830156
39_3_127_3_39,18.823722
39_126_26,18.823226
39_83_65,18.82053
39_47_86_47_39,18.820363
39_15_86_15_64,18.818778
39_130_127_109_39,18.818249
39_153_86_18_39,18.816666
39_28_31_29_39,18.813114
39_17_130_130_39,18.812817
39_28_130_120_39,18.810162
39_130_127_116_39,18.810141
39_12_130_130_39,18.809516
47_126_39,18.808014
39_80_130_130_39,18.805284
39_43_127_130_39,18.80452
39_159_130_28_39,18.804191
39_111_86_111_39,18.803287
39_168_130_28_39,18.799797
10_126_39,18.799134
39_28_127_120_39,18.796524
39_130_62_130_39,18.795978
39_126_29,18.792625
39_28_86_20_6,18.79227
39_126_32,18.792224
39_130_141_3_39,18.791409
39_126_47,18.790674
39_136_130_130_39,18.788344
39_130_62,18.787469
39_76_86_58_39,18.786285
39_28_86_28_8,18.783989
39_130_30_28_39,18.783785
39_98_86_50_39,18.782112
39_79_130_130_39,18.781276
39_130_130_138_39,18.780998
39_130_129_153_39,18.780906
39_130_130_77_39,18.778274
39_130_129_6_39,18.777944
39_15_86_15_60,18.777578
39_28_130_38_39,18.774464
39_28_86_28_52,18.769065
39_86_0,18.767961
39_158_130_28_39,18.767091
39_127_78_130_39,18.765969
39_29_130_3_39,18.765735
39_126_10,18.764376
39_130_130_76_39,18.763412
39_130_130_144_39,18.762274
39_3_162_130_39,18.760954
39_28_39_130_39,18.756181
39_108_39,18.755653
39_130_130_79_39,18.755534
39_26_86_148_39,18.75531
39_15_86_15_46,18.752185
39_28_86_28_23,18.750278
39_28_106_153_39,18.749046
39_67_127_130_39,18.748811
39_133_78_130_39,18.745639
39_130_75_130_39,18.743453
39_28_86_0_28,18.74334
39_112_39,18.741617
39_28_86_143_65,18.739569
39_126_43,18.735021
39_50_86_50_62,18.733539
39_163_127_130_39,18.733118
39_130_50_3_39,18.732835
39_167_130_28_39,18.731812
39_83_64,18.730967
39_28_86_161_25,18.727176
39_37_39,18.726188
39_126_41,18.725922
39_9_130_28_39,18.725464
39_43_130_130_39,18.72502
39_78_127_28_39,18.720687
39_130_127_76_39,18.718798
39_28_130_21_39,18.717605
39_130_130_130_9,18.717111
55_83_39,18.716502
39_126_45,18.714637
39_130_25_28_39,18.713247
39_28_127_97_39,18.71111
39_126_17,18.709947
39_130_126_50_39,18.709245
39_28_95_28_39,18.705515
39_26_86_125_39,18.704451
39_3_130_148_39,18.70196
65_130_130_130_39,18.698296
39_6_57_130_39,18.697072
39_134_39,18.695887
39_130_130_103_39,18.69557
