wavelength,1.5 AM irrandiance,Normalized 1.5AM
450,1.2881,8.98E-01
451,1.3376,9.32E-01
452,1.2822,8.94E-01
453,1.1854,8.26E-01
454,1.273,8.87E-01
455,1.2655,8.82E-01
456,1.3088,9.12E-01
457,1.3213,9.21E-01
458,1.2946,9.02E-01
459,1.2859,8.96E-01
460,1.2791,8.91E-01
461,1.3255,9.24E-01
462,1.3392,9.33E-01
463,1.3452,9.38E-01
464,1.3055,9.10E-01
465,1.2905,8.99E-01
466,1.319,9.19E-01
467,1.2616,8.79E-01
468,1.3178,9.18E-01
469,1.3247,9.23E-01
470,1.2749,8.89E-01
471,1.2975,9.04E-01
472,1.3661,9.52E-01
473,1.3144,9.16E-01
474,1.3304,9.27E-01
475,1.3755,9.59E-01
476,1.3299,9.27E-01
477,1.3392,9.33E-01
478,1.3839,9.65E-01
479,1.3586,9.47E-01
480,1.3825,9.64E-01
481,1.3836,9.64E-01
482,1.3899,9.69E-01
483,1.3742,9.58E-01
484,1.3492,9.40E-01
485,1.3457,9.38E-01
486,1.0918,7.61E-01
487,1.2235,8.53E-01
488,1.3252,9.24E-01
489,1.2492,8.71E-01
490,1.3968,9.74E-01
491,1.3435,9.36E-01
492,1.2818,8.93E-01
493,1.3719,9.56E-01
494,1.3402,9.34E-01
495,1.4238,9.92E-01
496,1.3548,9.44E-01
497,1.3788,9.61E-01
498,1.3421,9.35E-01
499,1.3429,9.36E-01
500,1.3391,9.33E-01
501,1.299,9.05E-01
502,1.2991,9.05E-01
503,1.3597,9.48E-01
504,1.2682,8.84E-01
505,1.3598,9.48E-01
506,1.4153,9.86E-01
507,1.3548,9.44E-01
508,1.321,9.21E-01
509,1.385,9.65E-01
510,1.3497,9.41E-01
511,1.3753,9.59E-01
512,1.4125,9.84E-01
513,1.3277,9.25E-01
514,1.3003,9.06E-01
515,1.3385,9.33E-01
516,1.3514,9.42E-01
517,1.1017,7.68E-01
518,1.2605,8.79E-01
519,1.2222,8.52E-01
520,1.3349,9.30E-01
521,1.3452,9.38E-01
522,1.376,9.59E-01
523,1.2976,9.04E-01
524,1.3962,9.73E-01
525,1.3859,9.66E-01
526,1.3479,9.39E-01
527,1.1795,8.22E-01
528,1.3508,9.41E-01
529,1.4142,9.86E-01
530,1.3598,9.48E-01
531,1.4348,1.00E+00
532,1.4094,9.82E-01
533,1.259,8.77E-01
534,1.3491,9.40E-01
535,1.3701,9.55E-01
536,1.4292,9.96E-01
537,1.3229,9.22E-01
538,1.3896,9.69E-01
539,1.3558,9.45E-01
540,1.3096,9.13E-01
541,1.2595,8.78E-01
542,1.3714,9.56E-01
543,1.3493,9.40E-01
544,1.3971,9.74E-01
545,1.3657,9.52E-01
546,1.3536,9.43E-01
547,1.3717,9.56E-01
548,1.3331,9.29E-01
549,1.3752,9.58E-01
550,1.3648,9.51E-01
551,1.3639,9.51E-01
552,1.3923,9.70E-01
553,1.3533,9.43E-01
554,1.3802,9.62E-01
555,1.3883,9.68E-01
556,1.3651,9.51E-01
557,1.3321,9.28E-01
558,1.3613,9.49E-01
559,1.2885,8.98E-01
560,1.3118,9.14E-01
561,1.3885,9.68E-01
562,1.3225,9.22E-01
563,1.3731,9.57E-01
564,1.3466,9.39E-01
565,1.3555,9.45E-01
566,1.2823,8.94E-01
567,1.3673,9.53E-01
568,1.3554,9.45E-01
569,1.3228,9.22E-01
570,1.324,9.23E-01
571,1.281,8.93E-01
572,1.3534,9.43E-01
573,1.3595,9.48E-01
574,1.3527,9.43E-01
575,1.3225,9.22E-01
576,1.3118,9.14E-01
577,1.3452,9.38E-01
578,1.304,9.09E-01
579,1.323,9.22E-01
580,1.3455,9.38E-01
581,1.3518,9.42E-01
582,1.3729,9.57E-01
583,1.3872,9.67E-01
584,1.3845,9.65E-01
585,1.3737,9.57E-01
586,1.3409,9.35E-01
587,1.3708,9.55E-01
588,1.3403,9.34E-01
589,1.1582,8.07E-01
590,1.2316,8.58E-01
591,1.3171,9.18E-01
592,1.29,8.99E-01
593,1.3086,9.12E-01
594,1.3029,9.08E-01
595,1.287,8.97E-01
596,1.326,9.24E-01
597,1.3303,9.27E-01
598,1.3142,9.16E-01
599,1.3145,9.16E-01
600,1.3278,9.25E-01
601,1.3123,9.15E-01
602,1.2928,9.01E-01
603,1.3205,9.20E-01
604,1.3439,9.37E-01
605,1.3418,9.35E-01
606,1.3353,9.31E-01
607,1.3434,9.36E-01
608,1.3392,9.33E-01
609,1.3292,9.26E-01
610,1.3237,9.23E-01
611,1.317,9.18E-01
612,1.337,9.32E-01
613,1.3182,9.19E-01
614,1.2783,8.91E-01
615,1.3254,9.24E-01
616,1.2906,9.00E-01
617,1.2744,8.88E-01
618,1.3228,9.22E-01
619,1.3292,9.26E-01
620,1.3299,9.27E-01
621,1.3359,9.31E-01
622,1.2882,8.98E-01
623,1.2793,8.92E-01
624,1.2751,8.89E-01
625,1.2667,8.83E-01
626,1.2655,8.82E-01
627,1.3022,9.08E-01
628,1.2328,8.59E-01
629,1.2758,8.89E-01
630,1.2589,8.77E-01
631,1.2799,8.92E-01
632,1.2327,8.59E-01
633,1.311,9.14E-01
634,1.2907,9.00E-01
635,1.3065,9.11E-01
636,1.2768,8.90E-01
637,1.3204,9.20E-01
638,1.3292,9.26E-01
639,1.3238,9.23E-01
640,1.2962,9.03E-01
641,1.297,9.04E-01
642,1.2995,9.06E-01
643,1.313,9.15E-01
644,1.3074,9.11E-01
645,1.317,9.18E-01
646,1.2797,8.92E-01
647,1.2744,8.88E-01
648,1.2625,8.80E-01
649,1.2234,8.53E-01
650,1.2299,8.57E-01
651,1.3071,9.11E-01
652,1.2558,8.75E-01
653,1.295,9.03E-01
654,1.2807,8.93E-01
655,1.222,8.52E-01
656,1.0727,7.48E-01
657,1.1218,7.82E-01
658,1.254,8.74E-01
659,1.2586,8.77E-01
660,1.2668,8.83E-01
661,1.2618,8.79E-01
662,1.2518,8.72E-01
663,1.2539,8.74E-01
664,1.2647,8.81E-01
665,1.2871,8.97E-01
666,1.286,8.96E-01
667,1.2767,8.90E-01
668,1.281,8.93E-01
669,1.3032,9.08E-01
670,1.2853,8.96E-01
671,1.2829,8.94E-01
672,1.2651,8.82E-01
673,1.276,8.89E-01
674,1.2742,8.88E-01
675,1.2639,8.81E-01
676,1.2786,8.91E-01
677,1.2669,8.83E-01
678,1.2737,8.88E-01
679,1.2629,8.80E-01
680,1.265,8.82E-01
681,1.2601,8.78E-01
682,1.2662,8.82E-01
683,1.2526,8.73E-01
684,1.2445,8.67E-01
685,1.2454,8.68E-01
686,1.2174,8.48E-01
687,0.88285,6.15E-01
688,1.0195,7.11E-01
689,1.026,7.15E-01
690,1.0746,7.49E-01
691,1.1201,7.81E-01
692,1.1516,8.03E-01
693,1.1446,7.98E-01
694,1.1318,7.89E-01
695,1.1538,8.04E-01
696,1.1513,8.02E-01
697,1.2151,8.47E-01
698,1.1961,8.34E-01
699,1.1721,8.17E-01
700,1.1636,8.11E-01
701,1.1489,8.01E-01
702,1.15,8.02E-01
703,1.1567,8.06E-01
704,1.1864,8.27E-01
705,1.1989,8.36E-01
706,1.1925,8.31E-01
707,1.1875,8.28E-01
708,1.1839,8.25E-01
709,1.188,8.28E-01
710,1.1954,8.33E-01
711,1.1934,8.32E-01
712,1.1856,8.26E-01
713,1.1719,8.17E-01
714,1.1823,8.24E-01
715,1.1428,7.96E-01
716,1.1548,8.05E-01
717,1.0081,7.03E-01
718,0.93873,6.54E-01
719,0.84274,5.87E-01
720,0.8994,6.27E-01
721,0.98967,6.90E-01
722,1.1281,7.86E-01
723,1.0423,7.26E-01
724,0.96305,6.71E-01
725,0.94741,6.60E-01
726,0.98638,6.87E-01
727,0.98988,6.90E-01
728,0.94968,6.62E-01
729,0.95503,6.66E-01
730,1.0294,7.17E-01
731,0.97702,6.81E-01
732,1.052,7.33E-01
733,1.0901,7.60E-01
734,1.1261,7.85E-01
735,1.1101,7.74E-01
736,1.0994,7.66E-01
737,1.0978,7.65E-01
738,1.1184,7.79E-01
739,1.0855,7.57E-01
740,1.1119,7.75E-01
741,1.1078,7.72E-01
742,1.1084,7.73E-01
743,1.1316,7.89E-01
744,1.1408,7.95E-01
745,1.1404,7.95E-01
746,1.1381,7.93E-01
747,1.1389,7.94E-01
748,1.1323,7.89E-01
749,1.1286,7.87E-01
750,1.1273,7.86E-01
751,1.1224,7.82E-01
752,1.1265,7.85E-01
753,1.121,7.81E-01
754,1.1353,7.91E-01
755,1.1321,7.89E-01
756,1.1185,7.80E-01
757,1.1176,7.79E-01
758,1.1246,7.84E-01
759,1.0932,7.62E-01
760,0.24716,1.72E-01
761,0.14328,9.99E-02
762,0.63491,4.43E-01
763,0.35217,2.45E-01
764,0.49885,3.48E-01
765,0.63377,4.42E-01
766,0.7508,5.23E-01
767,0.89574,6.24E-01
768,1.0222,7.12E-01
769,1.0347,7.21E-01
770,1.0646,7.42E-01
771,1.0716,7.47E-01
772,1.0802,7.53E-01
773,1.0797,7.53E-01
774,1.08,7.53E-01
775,1.0801,7.53E-01
776,1.0827,7.55E-01
777,1.0764,7.50E-01
778,1.0754,7.50E-01
779,1.0803,7.53E-01
780,1.0687,7.45E-01
781,1.0662,7.43E-01
782,1.0714,7.47E-01
783,1.0672,7.44E-01
784,1.0602,7.39E-01
785,1.0649,7.42E-01
786,1.0656,7.43E-01
787,1.053,7.34E-01
788,1.0399,7.25E-01
789,1.0359,7.22E-01
790,1.0045,7.00E-01
791,1.0179,7.09E-01
792,1.0084,7.03E-01
793,1.0015,6.98E-01
794,1.0101,7.04E-01
795,1.0066,7.02E-01
796,0.98985,6.90E-01
797,1.0057,7.01E-01
798,1.0245,7.14E-01
799,1.0048,7.00E-01
800,0.98859,6.89E-01
801,0.99978,6.97E-01
802,1.0011,6.98E-01
803,0.98288,6.85E-01
804,0.99452,6.93E-01
805,0.9727,6.78E-01
806,1.0122,7.05E-01
807,1.0018,6.98E-01
808,0.99844,6.96E-01
809,0.97353,6.79E-01
810,0.97488,6.79E-01
811,0.97273,6.78E-01
812,0.94882,6.61E-01
813,0.93236,6.50E-01
814,0.83681,5.83E-01
815,0.82927,5.78E-01
816,0.77171,5.38E-01
817,0.78984,5.50E-01
818,0.76299,5.32E-01
819,0.83844,5.84E-01
820,0.79899,5.57E-01
821,0.92292,6.43E-01
822,0.88081,6.14E-01
823,0.62576,4.36E-01
824,0.86619,6.04E-01
825,0.89752,6.26E-01
826,0.8653,6.03E-01
827,0.91178,6.35E-01
828,0.7887,5.50E-01
829,0.86135,6.00E-01
830,0.8493,5.92E-01
831,0.85666,5.97E-01
832,0.82961,5.78E-01
833,0.88622,6.18E-01
834,0.86608,6.04E-01
835,0.92917,6.48E-01
836,0.90135,6.28E-01
837,0.93493,6.52E-01
838,0.92585,6.45E-01
839,0.92783,6.47E-01
840,0.94124,6.56E-01
841,0.93626,6.53E-01
842,0.92411,6.44E-01
843,0.93171,6.49E-01
844,0.91434,6.37E-01
845,0.94226,6.57E-01
846,0.94447,6.58E-01
847,0.91947,6.41E-01
848,0.9201,6.41E-01
849,0.91447,6.37E-01
850,0.829,5.78E-01
851,0.90454,6.30E-01
852,0.89942,6.27E-01
853,0.8954,6.24E-01
854,0.79,5.51E-01
855,0.84746,5.91E-01
856,0.90343,6.30E-01
857,0.92059,6.42E-01
858,0.92094,6.42E-01
859,0.92081,6.42E-01
860,0.91764,6.40E-01
861,0.91648,6.39E-01
862,0.92367,6.44E-01
863,0.92934,6.48E-01
864,0.90956,6.34E-01
865,0.89487,6.24E-01
866,0.78882,5.50E-01
867,0.85066,5.93E-01
868,0.8914,6.21E-01
869,0.88252,6.15E-01
870,0.89933,6.27E-01
871,0.88671,6.18E-01
872,0.89887,6.26E-01
873,0.88999,6.20E-01
874,0.87451,6.10E-01
875,0.86204,6.01E-01
876,0.88625,6.18E-01
877,0.88948,6.20E-01
878,0.88607,6.18E-01
879,0.87144,6.07E-01
880,0.87434,6.09E-01
881,0.84563,5.89E-01
882,0.86787,6.05E-01
883,0.86494,6.03E-01
884,0.86859,6.05E-01
885,0.87913,6.13E-01
886,0.84515,5.89E-01
887,0.84799,5.91E-01
888,0.85899,5.99E-01
889,0.87041,6.07E-01
890,0.86078,6.00E-01
891,0.86255,6.01E-01
892,0.84688,5.90E-01
893,0.81412,5.67E-01
894,0.79413,5.53E-01
895,0.75956,5.29E-01
896,0.71265,4.97E-01
897,0.6231,4.34E-01
898,0.67137,4.68E-01
899,0.51461,3.59E-01
900,0.69429,4.84E-01
901,0.56162,3.91E-01
902,0.625,4.36E-01
903,0.64483,4.49E-01
904,0.78862,5.50E-01
905,0.76337,5.32E-01
906,0.72502,5.05E-01
907,0.59833,4.17E-01
908,0.61091,4.26E-01
909,0.65912,4.59E-01
910,0.58553,4.08E-01
911,0.6258,4.36E-01
912,0.64508,4.50E-01
913,0.58906,4.11E-01
914,0.5874,4.09E-01
915,0.6355,4.43E-01
916,0.54099,3.77E-01
917,0.6835,4.76E-01
918,0.55612,3.88E-01
919,0.69161,4.82E-01
920,0.69657,4.85E-01
921,0.73004,5.09E-01
922,0.65584,4.57E-01
923,0.69698,4.86E-01
924,0.67571,4.71E-01
925,0.66621,4.64E-01
926,0.65875,4.59E-01
927,0.73684,5.14E-01
928,0.55363,3.86E-01
929,0.51792,3.61E-01
930,0.40679,2.84E-01
931,0.3854,2.69E-01
932,0.28386,1.98E-01
933,0.23459,1.64E-01
934,0.13604,9.48E-02
935,0.2369,1.65E-01
936,0.15267,1.06E-01
937,0.15453,1.08E-01
938,0.18962,1.32E-01
939,0.37591,2.62E-01
940,0.44411,3.10E-01
941,0.35071,2.44E-01
942,0.38192,2.66E-01
943,0.26289,1.83E-01
944,0.26987,1.88E-01
945,0.34729,2.42E-01
946,0.18409,1.28E-01
947,0.3501,2.44E-01
948,0.25911,1.81E-01
949,0.46514,3.24E-01
950,0.13944,9.72E-02
951,0.45563,3.18E-01
952,0.25418,1.77E-01
953,0.32442,2.26E-01
954,0.39988,2.79E-01
955,0.32204,2.24E-01
956,0.30996,2.16E-01
957,0.25591,1.78E-01
958,0.43453,3.03E-01
959,0.35294,2.46E-01
960,0.39685,2.77E-01
961,0.43481,3.03E-01
962,0.41664,2.90E-01
963,0.47585,3.32E-01
964,0.43242,3.01E-01
965,0.47469,3.31E-01
966,0.47377,3.30E-01
967,0.47353,3.30E-01
968,0.61301,4.27E-01
969,0.6448,4.49E-01
970,0.59689,4.16E-01
971,0.67059,4.67E-01
972,0.64629,4.50E-01
973,0.57081,3.98E-01
974,0.5417,3.78E-01
975,0.55536,3.87E-01
976,0.53872,3.75E-01
977,0.60084,4.19E-01
978,0.57903,4.04E-01
979,0.60046,4.19E-01
980,0.56941,3.97E-01
981,0.67058,4.67E-01
982,0.65102,4.54E-01
983,0.62915,4.38E-01
984,0.6929,4.83E-01
985,0.64734,4.51E-01
986,0.70553,4.92E-01
987,0.69489,4.84E-01
988,0.69059,4.81E-01
989,0.70391,4.91E-01
990,0.68843,4.80E-01
991,0.70833,4.94E-01
992,0.70597,4.92E-01
993,0.69325,4.83E-01
994,0.70891,4.94E-01
995,0.70673,4.93E-01
996,0.70409,4.91E-01
997,0.69555,4.85E-01
998,0.69481,4.84E-01
999,0.69455,4.84E-01
1000,0.69159,4.82E-01
1001,0.70013,4.88E-01
1002,0.68498,4.77E-01
1003,0.69086,4.82E-01
1004,0.68056,4.74E-01
1005,0.6414,4.47E-01
1006,0.67047,4.67E-01
1007,0.68463,4.77E-01
1008,0.68407,4.77E-01
1009,0.67742,4.72E-01
1010,0.67695,4.72E-01
1011,0.68034,4.74E-01
1012,0.67667,4.72E-01
1013,0.67556,4.71E-01
1014,0.67848,4.73E-01
1015,0.66676,4.65E-01
1016,0.66976,4.67E-01
1017,0.66237,4.62E-01
1018,0.67263,4.69E-01
1019,0.6488,4.52E-01
1020,0.65839,4.59E-01
1021,0.66107,4.61E-01
1022,0.6498,4.53E-01
1023,0.6549,4.56E-01
1024,0.65077,4.54E-01
1025,0.65727,4.58E-01
1026,0.65625,4.57E-01
1027,0.65318,4.55E-01
1028,0.65398,4.56E-01
1029,0.64687,4.51E-01
1030,0.65092,4.54E-01
