GA,NFA_index,donor_index,predicted_score,NFA_smiles,donor_SMILES
5,660,603,432.2653752,C(=C1C(=O)c2cc3c(cc2C1=C(C#N)C#N)C1C2C=CC(C2)C31)c1c(N(c2ccc(SC)cc2)c2ccc(SC)cc2)c2sc(c(N(c3ccc(SC)cc3)c3ccc(SC)cc3)c2s1)C1=C2C(C(=O)N1CC)=C(N(CC)C2=O)c1c2c(N=S=N2)c(c2nsnc12)C=C1C(=O)c2cc3c(cc2C1=C(C#N)C#N)C1C2C=CC(C2)C31,C1C(=O)Oc2c1cc1c(c2)C(C(=O)O1)C=CC1C(=O)Oc2c1cc1c(c2)C(C(=O)O1)C=Cc1sc(c2c1cc(C)c(OC)c2)c1sc(c2c1cc(C)c(OC)c2)C1C(=O)Oc2c1cc1c(c2)C(C(=O)O1)C=CC1C(=O)Oc2c1cc1c(c2)C(C(=O)O1)C=C
5,660,831,430.7878001,C(=C1C(=O)c2cc3c(cc2C1=C(C#N)C#N)C1C2C=CC(C2)C31)c1c(N(c2ccc(SC)cc2)c2ccc(SC)cc2)c2sc(c(N(c3ccc(SC)cc3)c3ccc(SC)cc3)c2s1)C1=C2C(C(=O)N1CC)=C(N(CC)C2=O)c1c2c(N=S=N2)c(c2nsnc12)C=C1C(=O)c2cc3c(cc2C1=C(C#N)C#N)C1C2C=CC(C2)C31,c1cc(c2cc(cc(OCC)c2)OCC)c(s1)c1cc(c2cc(cc(OCC)c2)OCC)c(s1)c1cc(c2cc(cc(OCC)c2)OCC)c(s1)c1sc2-c3c(OC(CC)(CC)c2c1)cc(s3)c1cc(c2cc(cc(OCC)c2)OCC)c(s1)c1cc(c2cc(cc(OCC)c2)OCC)c(s1)
5,660,549,430.4594603,C(=C1C(=O)c2cc3c(cc2C1=C(C#N)C#N)C1C2C=CC(C2)C31)c1c(N(c2ccc(SC)cc2)c2ccc(SC)cc2)c2sc(c(N(c3ccc(SC)cc3)c3ccc(SC)cc3)c2s1)C1=C2C(C(=O)N1CC)=C(N(CC)C2=O)c1c2c(N=S=N2)c(c2nsnc12)C=C1C(=O)c2cc3c(cc2C1=C(C#N)C#N)C1C2C=CC(C2)C31,c1c(CC)c(ccc1)c1c(CC)c(ccc1)c1sc(c2c1cc(OC)cc2)c1sc(c2c1cc(OC)cc2)c1c(CC)c(ccc1)c1c(CC)c(ccc1)
5,660,915,429.8866173,C(=C1C(=O)c2cc3c(cc2C1=C(C#N)C#N)C1C2C=CC(C2)C31)c1c(N(c2ccc(SC)cc2)c2ccc(SC)cc2)c2sc(c(N(c3ccc(SC)cc3)c3ccc(SC)cc3)c2s1)C1=C2C(C(=O)N1CC)=C(N(CC)C2=O)c1c2c(N=S=N2)c(c2nsnc12)C=C1C(=O)c2cc3c(cc2C1=C(C#N)C#N)C1C2C=CC(C2)C31,c1sc(c2sc(C(=O)OCC)c(c12)F)c1sc(c2sc(C(=O)OCC)c(c12)F)c1sc(c2sc(C(=O)OCC)c(c12)F)c1sc(c2sc(C(=O)OCC)c(c12)F)c1sc(c2sc(C(=O)OCC)c(c12)F)c1sc(c2sc(C(=O)OCC)c(c12)F)
5,660,627,429.7958518,C(=C1C(=O)c2cc3c(cc2C1=C(C#N)C#N)C1C2C=CC(C2)C31)c1c(N(c2ccc(SC)cc2)c2ccc(SC)cc2)c2sc(c(N(c3ccc(SC)cc3)c3ccc(SC)cc3)c2s1)C1=C2C(C(=O)N1CC)=C(N(CC)C2=O)c1c2c(N=S=N2)c(c2nsnc12)C=C1C(=O)c2cc3c(cc2C1=C(C#N)C#N)C1C2C=CC(C2)C31,c1sc2c3c(n(CC)c2c1)cc(s3)c1cc(CC)c([se]1)c1cc(CC)c([se]1)c1sc2c3c(n(CC)c2c1)cc(s3)c1cc(CC)c([se]1)c1sc2c3c(n(CC)c2c1)cc(s3)
5,660,995,429.6138253,C(=C1C(=O)c2cc3c(cc2C1=C(C#N)C#N)C1C2C=CC(C2)C31)c1c(N(c2ccc(SC)cc2)c2ccc(SC)cc2)c2sc(c(N(c3ccc(SC)cc3)c3ccc(SC)cc3)c2s1)C1=C2C(C(=O)N1CC)=C(N(CC)C2=O)c1c2c(N=S=N2)c(c2nsnc12)C=C1C(=O)c2cc3c(cc2C1=C(C#N)C#N)C1C2C=CC(C2)C31,c1c(C)cc(s1)c1c(C)cc(s1)c1sc(c2c1cc(C)c(C)c2)C=Cc1sc(c2c1cc(C)c(C)c2)C=Cc1c(C)cc(s1)c1c(C)cc(s1)
5,660,672,426.775329,C(=C1C(=O)c2cc3c(cc2C1=C(C#N)C#N)C1C2C=CC(C2)C31)c1c(N(c2ccc(SC)cc2)c2ccc(SC)cc2)c2sc(c(N(c3ccc(SC)cc3)c3ccc(SC)cc3)c2s1)C1=C2C(C(=O)N1CC)=C(N(CC)C2=O)c1c2c(N=S=N2)c(c2nsnc12)C=C1C(=O)c2cc3c(cc2C1=C(C#N)C#N)C1C2C=CC(C2)C31,c1cc(OCC)c(cc1OCC)c1cc(OCC)c(cc1OCC)c1sc2-c3c(OC(CC)(CC)c2c1)cc(s3)c1cc(OCC)c(cc1OCC)c1cc(OCC)c(cc1OCC)c1cc(OCC)c(cc1OCC)
5,660,842,426.227779,C(=C1C(=O)c2cc3c(cc2C1=C(C#N)C#N)C1C2C=CC(C2)C31)c1c(N(c2ccc(SC)cc2)c2ccc(SC)cc2)c2sc(c(N(c3ccc(SC)cc3)c3ccc(SC)cc3)c2s1)C1=C2C(C(=O)N1CC)=C(N(CC)C2=O)c1c2c(N=S=N2)c(c2nsnc12)C=C1C(=O)c2cc3c(cc2C1=C(C#N)C#N)C1C2C=CC(C2)C31,c1sc(c2c1[C@H](F)[C@H](F)[C@@H](F)[C@H]2F)c1sc(c2c1[C@H](F)[C@H](F)[C@@H](F)[C@H]2F)c1cc2c(s1)c1c(C2)cc(s1)c1cc2c(s1)c1c(C2)cc(s1)c1cc2c(s1)c1c(C2)cc(s1)c1sc(c2c1[C@H](F)[C@H](F)[C@@H](F)[C@H]2F)
5,660,924,425.6043139,C(=C1C(=O)c2cc3c(cc2C1=C(C#N)C#N)C1C2C=CC(C2)C31)c1c(N(c2ccc(SC)cc2)c2ccc(SC)cc2)c2sc(c(N(c3ccc(SC)cc3)c3ccc(SC)cc3)c2s1)C1=C2C(C(=O)N1CC)=C(N(CC)C2=O)c1c2c(N=S=N2)c(c2nsnc12)C=C1C(=O)c2cc3c(cc2C1=C(C#N)C#N)C1C2C=CC(C2)C31,c1sc(c2c1CC[C@@H](N(=O)=O)C2)c1sc(c2c1cc(OC)c(OC)c2)c1sc(c2c1cc(OC)c(OC)c2)c1sc(c2c1CC[C@@H](N(=O)=O)C2)c1sc(c2c1CC[C@@H](N(=O)=O)C2)c1sc(c2c1CC[C@@H](N(=O)=O)C2)
5,660,970,423.2900606,C(=C1C(=O)c2cc3c(cc2C1=C(C#N)C#N)C1C2C=CC(C2)C31)c1c(N(c2ccc(SC)cc2)c2ccc(SC)cc2)c2sc(c(N(c3ccc(SC)cc3)c3ccc(SC)cc3)c2s1)C1=C2C(C(=O)N1CC)=C(N(CC)C2=O)c1c2c(N=S=N2)c(c2nsnc12)C=C1C(=O)c2cc3c(cc2C1=C(C#N)C#N)C1C2C=CC(C2)C31,N1c2cscc2N(CC1)c1sc(c2c1cc(OC)c(OC)c2)c1sc(c2c1cc(OC)c(OC)c2)N1c2cscc2N(CC1)N1c2cscc2N(CC1)N1c2cscc2N(CC1)
