,smi_filename,smiles,sTDDFTxtb_HOMO,B3LYP_HOMO,A_or_D
80,191_C,c1cc2c(c3ccc(CC)s3)c3sc4-c5cc6C(c7ccc(CC)cc7)(c7ccc(CC)cc7)c7c(-c6cc5C(c5ccc(CC)cc5)(c5ccc(CC)cc5)c4c3c(c2s1)c1ccc(CC)s1)sc1c(c2ccc(CC)s2)c2cc(sc2c(c2ccc(CC)s2)c71),-13.447,-5.273439,D
81,192_C,c1oc2-c3c(C(c4ccc(CC)cc4)(c4ccc(CC)cc4)c2c1)cc1-c2c(C(c1c3)(c1ccc(CC)cc1)c1ccc(CC)cc1)cc(o2),-13.867,-5.582979,D
82,193_C,c1ccc2C(CC)(CC)c3c(-c2c1)cc1c(c3)-c2cc(ccc2C1(CC)CC),-14.624,-6.140888,D
83,195_C,c1sc2c3c(cc(c4ccc(CC)s4)c2c1)c1cc(sc1c(c1ccc(CC)s1)c3),-13.806,-5.538022,D
84,196_C,c1c2nc(c3ccc(OCC)c(c3)OCC)c(c3ccc(OCC)c(OCC)c3)nc2c(c(c1F)F),-14.264,-5.875568,D
85,197_C,c1c(F)c(F)c(c(F)c1F),-16.355,-7.416635,A
86,198_C,c1cc2c(c3ccc(C=Cc4ccc(CC)s4)s3)c3c(c(c4ccc(C=Cc5ccc(CC)s5)s4)c2s1)cc(s3),-13.43,-5.26091,D
87,199_C,c1c(F)cc(cc1),-16.192,-7.296504,A
88,19_C,c1cc(c2c(cc(C)cc2C)C)c(s1),-14.883,-6.331771,D
89,200_C,c1cc(C(=O)OC)c(s1),-15.253,-6.604461,A
90,201_C,c1c(c2ccc(CC)s2)cc(s1),-13.935,-5.633095,D
91,202_C,c1cc2c(c3ccc(C=Cc4ccc(SCC)s4)s3)c3c(c(c4ccc(C=Cc5ccc(SCC)s5)s4)c2s1)cc(s3),-13.433,-5.263121,D
92,203_C,c1cc2sc3c(c4ccc(CC)s4)c4c(c(c5ccc(CC)s5)c3c2s1)sc1cc(sc41),-13.495,-5.308815,D
93,204_C,c1cc2c(c3cc(Cl)c(SCC)s3)c3c(c(c4sc(SCC)c(c4)Cl)c2s1)cc(s3),-13.551,-5.350087,D
94,205_C,c1cc(CC)c([se]1),-14.815,-6.281655,D
95,206_C,c1cc2C(c3ccc(CC)cc3)(c3ccc(CC)cc3)c3c(-c2[se]1)cc1C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2c(-c1c3)sc(c2),-13.76,-5.50412,D
96,207_C,c1cc(SCC)c(s1),-14.254,-5.868198,D
97,20_C,c1cc2c(c3cc(CC)c(CC)s3)c3c(c(c4cc(CC)c(s4)CC)c2s1)cc(s3),-13.542,-5.343454,D
98,210_C,c1cc2sc3-c4cc5C(c6ccc(CC)cc6)(c6ccc(CC)cc6)c6c(-c5cc4C(c4ccc(CC)cc4)(c4ccc(CC)cc4)c3c2s1)sc(c6),-13.538,-5.340506,D
99,214_C,c1sc(c2c1OCCO2),-14.318,-5.915366,D
100,215_C,c1[se]c2-c3c(C(c2c1)(c1ccc(CC)cc1)c1ccc(CC)cc1)cc1-c2c(C(c1c3)(c1ccc(CC)cc1)c1ccc(CC)cc1)c1sc3-c4cc5C(c6ccc(CC)cc6)(c6ccc(CC)cc6)c6c(-c5cc4C(c4ccc(CC)cc4)(c4ccc(CC)cc4)c3c1s2)[se]c(c6),-13.206,-5.095822,D
101,216_C,c1sc2-c3c(C(c2c1)(c1ccc(CC)cc1)c1ccc(CC)cc1)cc1-c2c(C(c1c3)(c1ccc(CC)cc1)c1ccc(CC)cc1)c1sc3-c4cc5C(c6ccc(CC)cc6)(c6ccc(CC)cc6)c6c(-c5cc4C(c4ccc(CC)cc4)(c4ccc(CC)cc4)c3c1s2)sc(c6),-13.217,-5.103929,D
102,217_C,c1c(OCC)c2C(c3ccc(CC)cc3)(c3ccc(CC)cc3)c3c(-c2s1)cc1C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2c(OCC)c(sc2-c1c3),-13.541,-5.342717,D
103,219_C,c1cc2C(CC)(c3ccc(CC)cc3)c3c(-c2s1)cc1C(c2ccc(CC)cc2)(CC)c2c(-c1c3)sc(c2),-13.716,-5.471692,D
104,21_C,c1c(CC)c2sc3c4c5c(nsn5)c5c6sc7c(CC)c(sc7c6n(c5c4n(c3c2s1)CC)CC),-13.039,-4.972743,D
105,220_C,c1sc2-c3c(C(c4ccc(CC)cc4)(c4ccc(CC)cc4)c2c1)cc1-c2c(C(c1c3)(c1ccc(CC)cc1)c1ccc(CC)cc1)c1c(s2)c2sc(cc2n1CC),-13.159,-5.061183,D
106,221_C,c1sc(c2c1OCCCO2),-14.185,-5.817345,D
107,224_C,c1cc2c(c3ccc(CC)cc3)c3c(c(c4ccc(CC)cc4)c2s1)cc(s3),-13.912,-5.616144,D
108,225_C,c1cc2sc3-c4cc5C(c6ccc(CC)cc6)(c6ccc(C)cc6)c6c(-c5cc4C(c4ccc(CC)cc4)(c4ccc(CC)cc4)c3c2s1)sc1cc(sc61),-13.392,-5.232904,D
109,227_C,c1cc2sc3-c4cc5C(c6ccc(CC)cc6)(CC)c6c(-c5cc4C(CC)(c4ccc(CC)cc4)c3c2s1)sc1cc(sc61),-13.372,-5.218164,D
110,228_C,c1cc2sc3-c4cc5C(c6ccc(OCC)cc6)(c6ccc(OCC)cc6)c6c(-c5cc4C(c4ccc(OCC)cc4)(c4ccc(OCC)cc4)c3c2s1)sc1cc(sc61),-13.33,-5.18721,D
111,229_C,c1cc2sc3-c4cc5C(c6ccccc6)(c6ccccc6)c6c(-c5cc4C(c4ccccc4)(c4ccccc4)c3c2s1)sc1c2c(n(CC)c61)cc(s2),-13.127,-5.037599,D
112,22_C,c1c(CC)c2sc3c4c5c(nn(CC)n5)c5c6sc7c(CC)c(sc7c6n(c5c4n(c3c2s1)CC)CC),-13.045,-4.977165,D
113,230_C,c1sc2-c3c(C(CC)(CC)c2c1)cc1cc2-c4c(C(c2cc1c3)(CC)CC)cc(s4),-13.847,-5.568239,D
114,233_C,c1cc2sc3c4C(c5ccc(CC)cc5)(c5ccc(CC)cc5)c5c(-c4sc3c2s1)cc1C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2c(-c1c5)sc1c2sc2cc(sc12),-13.177,-5.074449,D
115,236_C,c1sc2c3sc4-c5cc6C(c7ccc(CC)cc7)(c7ccc(CC)cc7)c7c(-c6cc5C(c5ccc(CC)cc5)(c5ccc(CC)cc5)c4c3n(c2c1)CC)sc1c2sc(cc2n(CC)c71),-12.925,-4.888725,D
116,237_C,c1sc2-c3c(C(c2c1)(c1ccc(CC)cc1)c1ccc(CC)cc1)c1c(CC)cc2c4sc5-c6c(C(c7ccc(CC)cc7)(c7ccc(CC)cc7)c5c4c(CC)cc2c1s3)cc(s6),-13.343,-5.196791,D
117,238_C,c1cc2C(c3ccc(CC)cc3)(c3ccc(CC)cc3)c3c(-c2s1)sc1c2c(cc(OCC)c31)c1c(c(c2)OCC)c2c(s1)-c1sc(cc1C2(c1ccc(CC)cc1)c1ccc(CC)cc1),-13.167,-5.067079,D
118,239_C,c1cc2C(c3ccc(CC)cc3)(c3ccc(CC)cc3)c3c(-c2s1)cc1C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2c(-c1c3)sc1c3c(n(c4ccc(CC)cc4)c21)cc(s3),-13.188,-5.082556,D
119,240_C,c1sc2c3sc4-c5cc6C(c7ccc(CC)cc7)(c7ccc(CC)cc7)c7c(-c6cc5C(c5ccc(CC)cc5)(c5ccc(CC)cc5)c4c3n(c2c1)c1ccc(CC)s1)sc(c7),-13.206,-5.095822,D
120,241_C,c1sc2c3sc4-c5cc6C(c7ccc(CC)cc7)(c7ccc(CC)cc7)c7c(-c6cc5C(c5ccc(CC)cc5)(c5ccc(CC)cc5)c4c3n(c2c1)c1cc2sc(CC)cc2s1)sc(c7),-13.22,-5.10614,D
121,242_C,c1sc2c3sc4-c5cc6C(c7ccc(CC)cc7)(c7ccc(CC)cc7)c7c(-c6cc5C(c5ccc(CC)cc5)(c5ccc(CC)cc5)c4c3n(c2c1)CC)sc1cc(sc71),-13.106,-5.022122,D
122,243_C,c1sc2c3sc4-c5cc6C(c7ccc(CC)cc7)(c7ccc(CC)cc7)c7c(-c6cc5C(c5ccc(CC)cc5)(c5ccc(CC)cc5)c4c3n(c2c1)CC)sc1c7sc2cc(sc12),-13.046,-4.977902,D
123,244_C,c1cc2c(c3cc(F)c(SCC)s3)c3c(c(c4sc(SCC)c(c4)F)c2s1)cc(s3),-13.521,-5.327977,D
124,245_C,c1cc2c(c3sc(CC)c(Cl)c3Cl)c3c(c(c4ccc(CC)s4)c2s1)cc(s3),-13.727,-5.479799,D
125,246_C,c1cc2sc3c(c4sc(CC)c(Cl)c4Cl)c4c(c(c5sc(CC)c(c5Cl)Cl)c3c2s1)sc1cc(sc41),-13.658,-5.428946,D
126,247_C,c1c2nn(CC)nc2c(c(c1Cl)Cl),-15.727,-6.953799,A
127,248_C,c1cc2c(c3ccc(OCC)cc3)c3c(c(c4ccc(OCC)cc4)c2s1)cc(s3),-13.764,-5.507068,D
128,249_C,c1cc2c(c3sc(CC)c(F)c3F)c3c(c(c4sc(CC)c(c4F)F)c2s1)cc(s3),-13.864,-5.580768,D
129,250_C,c1nnc(c2C(=O)N(CC)C(=O)c12),-16.226,-7.321562,A
130,251_C,c1cc2sc3c(c4sc(CC)c(F)c4F)c4c(c(c5sc(CC)c(c5F)F)c3c2s1)sc1cc(sc41),-13.659,-5.429683,D
131,252_C,c1cc2c(c3sc(CC)c(Cl)c3Cl)c3c(c(c4sc(CC)c(c4Cl)Cl)c2s1)cc(s3),-13.903,-5.609511,D
132,253_C,c1cc2sc3c(c4cc(F)c(CC)s4)c4c(c(c5sc(CC)c(c5)F)c3c2s1)sc1cc(sc41),-13.652,-5.424524,D
133,254_C,c1sc2c3c(c4c(cc5n(c(=O)n(CC)c5c4)CC)c2c1)cc(s3),-13.92,-5.62204,D
134,255_C,c1cc2c(c3cc(Cl)c(CC)s3)c3c(c(c4ccc(CC)s4)c2s1)cc(s3),-13.653,-5.425261,D
135,256_C,c1cc(C(=O)CC)c(s1),-15.332,-6.662684,A
136,257_C,c1cc2c(c3cc(F)c(CC)s3)c3c(c(c4sc(CCC)c(c4)F)c2s1)cc(s3),-13.757,-5.501909,D
