,smi_filename,smiles,sTDDFTxtb_HOMO,B3LYP_HOMO,A_or_D,fused_ring_count
92,332_C,c1sc2c3sc4c5c6c(nsn6)c6c7sc8c9c(c%10nn(CC)nc%10c8c7n(c6c5n(c4c3c3c(c2c1)nn(CC)n3)CC)CC)cc(s9),-13.272,-5.144464,D,12
93,335_C,c1cc2sc3-c4c(C(c5ccc(CC)cc5)(c5ccc(CC)cc5)c3c2s1)cc1-c2c(C(c3c1c4ccc3)(c1ccc(CC)cc1)c1ccc(CC)cc1)c1c(s2)cc(s1),-13.29,-5.15773,D,8
94,336_C,c1cc2sc3-c4c(C(Cc5ccc(CC)cc5)(c5ccc(CC)cc5)c3c2s1)cc1-c2c(C(c3c1c4ccc3)(c1ccc(CC)cc1)c1ccc(CC)cc1)c1c(s2)cc(s1),-13.251,-5.128987,D,8
95,337_C,c1sc2-c3c(OC(CC)(CC)c2c1)cc1-c2c(C(Oc1c3)(CC)CC)cc(s2),-13.47,-5.29039,D,5
96,338_C,c1sc2-c3c(C(c2c1)(c1ccc(CC)cc1)c1ccc(CC)cc1)c1c(CC)c2sc4-c5c(C(c6ccc(CC)cc6)(c6ccc(CC)cc6)c4c2c(c1s3)CC)cc(s5),-13.16,-5.06192,D,7
97,343_C,c1cc2sc3-c4c(OCC)c5c(cc4C(c4ccc(CC)cc4)(c4ccc(CC)cc4)c3c2s1)c(OCC)c1-c2c(C(c1c5)(c1ccc(CC)cc1)c1ccc(CC)cc1)c1c(s2)cc(s1),-13.419,-5.252803,D,8
98,347_C,c1cc2C(c3ccc(CC)cc3)(c3ccc(CC)cc3)c3c(-c2s1)c1ccc2C(c4ccc(CC)cc4)(c4ccc(CC)cc4)c4cc(sc4-c2c1cc3),-13.737,-5.487169,D,6
99,348_C,c1cc2c(c3nsnc13)cc(c1nsnc21),-15.115,-6.502755,D,4
100,350_C,c1c(c2ccccc2CC)c2sc3c4c5c(nsn5)c5c6sc7c(c8c(CC)cccc8)c(sc7c6n(c5c4n(c3c2s1)CC)CC),-13.07,-4.99559,D,8
101,358_C,c1sc2c3sc4-c5c(C(c6ccc(OCC)cc6)(c6ccc(OCC)cc6)c4c3n(c2c1)CC)cc1-c2c(C(c1c5)(c1ccc(OCC)cc1)c1ccc(OCC)cc1)c1c(s2)c2sc(cc2n1CC),-12.887,-4.860719,D,9
102,368_C,c1cc2[se]c3-c4cc5C(c6ccc(CC)cc6)(c6ccc(CC)cc6)c6c(-c5cc4C(c4ccc(CC)cc4)(c4ccc(CC)cc4)c3c2s1)[se]c1cc(sc61),-13.396,-5.235852,D,7
103,370_C,c1sc2c3sc4c(c3n(c2c1)CC)sc1c2c(n(CC)c41)cc(s2),-12.868,-4.846716,D,6
104,372_C,c1sc2c3c4c(nsn4)c4c5sc6c(CC)c(sc6c5n(c4c3n(c2c1CC)CC)CC),-13.142,-5.048654,D,7
105,373_C,c1sc2-c3c(C(c2c1)(C)C)cc1-c2c(C(C)(C)c1c3)cc1-c3c(C(c1c2)(C)C)cc1-c2c(C(c1c3)(C)C)cc(s2),-13.836,-5.560132,D,9
106,374_C,c1c(CC)c2sc3c4c5c(nc(c6ccc(C(F)(F)F)cc6)c(c6ccc(C(F)(F)F)cc6)n5)c5c6sc7c(CC)c(sc7c6n(c5c4n(c3c2s1)CC)CC),-13.283,-5.152571,D,8
107,375_C,c1c(CC)c2sc3c4c5nc(c6ccc(CC)s6)c(c6ccc(CC)s6)nc5c5c6sc7c(CC)c(sc7c6n(CC)c5c4n(c3c2s1)CC),-13.065,-4.991905,D,8
108,376_C,c1c(CC)c2sc3c4c5nc(c6sc(CC)c(c6)F)c(c6cc(F)c(CC)s6)nc5c5c6sc7c(CC)c(sc7c6n(CC)c5c4n(c3c2s1)CC),-13.154,-5.057498,D,8
109,377_C,c1cc2sc3c4C(c5ccc(CC)cc5)(c5ccc(CC)cc5)c5c(-c4sc3c2s1)cc1C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2c(-c1c5)sc(c2),-13.349,-5.201213,D,7
110,378_C,c1cc2sc3-c4cc5C(c6ccc(CC)cc6)(c6ccc(CC)cc6)c6c(-c5cc4C(c4ccc(CC)cc4)(c4ccc(CC)cc4)c3c2[se]1)sc1cc([se]c61),-13.377,-5.221849,D,7
111,379_C,c1cc2sc3c4C(c5ccccc5)(c5ccccc5)c5c(-c4sc3c2s1)cc1C(c2ccccc2)(c2ccccc2)c2c(-c1c5)sc1cc(sc21),-13.287,-5.155519,D,8
112,382_C,c1cc2sc3c4c5nn(CC)nc5c5c6sc7cc(sc7c6n(CC)c5c4n(c3c2s1)CC),-13.113,-5.027281,D,8
113,383_C,c1ccc2c3c(n(c2c1)CC)c1c2c(nn(CC)n2)c2c(c1n3CC)n(CC)c1c2n(CC)c2c1ccc(c2),-13.227,-5.111299,D,8
114,386_C,c1c(CC)c2c(s1)c1c3nn(CC)nc3c3c4sc(c(CC)c4n(CC)c3c1n2CC),-13.3,-5.1651,D,6
115,387_C,c1c(CC)c2c(s1)c1c(s2)c2c3nsnc3c3c4sc5cc(sc5c4n(CC)c3c2n1CC),-13.071,-4.996327,D,8
116,38_C,c1sc2-c3c(C(c2c1)(c1ccc(CC)cc1)c1ccc(CC)cc1)c1cc2sc4-c5c(C(c6ccc(CC)cc6)(c6ccc(CC)cc6)c4c2cc1s3)cc(s5),-13.234,-5.116458,D,7
117,395_C,c1c(CC)c2sc3c4c5c(nsn5)c5c6sc7c(OCC)c(sc7c6n(c5c4n(c3c2s1)CC)CC),-13.002,-4.945474,D,8
118,396_C,c1c(CC)c2[se]c3c4c5c(nsn5)c5c6[se]c7c(CC)c(sc7c6n(c5c4n(c3c2s1)CC)CC),-13.034,-4.969058,D,8
119,398_C,c1sc2-c3c(Cc2c1)cc1C2=C(C(CC)(CC)c1c3)c1c(C2(CC)CC)cc2-c3c(Cc2c1)cc(s3),-13.576,-5.368512,D,8
120,399_C,c1sc2-c3c(C(c2c1)C)cc1C2=C(C(CC)(CC)c1c3)c1c(C2(CC)CC)cc2-c3c(C(c2c1)C)cc(s3),-13.553,-5.351561,D,8
121,400_C,c1sc2c3c(n(c2c1)C)cc1C2=C(C(CC)(CC)c1c3)c1c(C2(CC)CC)cc2c3sc(cc3n(C)c2c1),-13.306,-5.169522,D,8
122,401_C,c1cc2sc3cc4C5=C(C(CC)(CC)c4cc3c2s1)c1c(C5(CC)CC)cc2c(c1)sc1cc(sc21),-13.611,-5.394307,D,8
123,41_C,c1sc2-c3c(C(c2c1)(c1ccc(CC)cc1)c1ccc(CC)cc1)c1cc2[se]c4-c5c(C(c6ccc(CC)cc6)(c6ccc(CC)cc6)c4c2cc1[se]3)cc(s5),-13.186,-5.081082,D,7
