,smi_filename,smiles,sTDDFTxtb_HOMO,B3LYP_HOMO,A_or_D,fused_ring_count
134,380_C,c1ccc(c2nc(c3ccc(CC)cc3)c(nc12)c1ccc(CC)cc1),-15.295,-6.635415,A,2
135,381_C,c1c2nc(CC)sc2c(c2c1sc(CC)n2),-14.715,-6.207955,D,3
136,385_C,c1c(F)c(F)c(c2nc(c3sc(CC)c(c3F)F)c(nc12)c1sc(CC)c(F)c1F),-14.823,-6.287551,D,2
137,388_C,c1c2ncc(OCC)nc2c(cc1),-15.511,-6.794607,A,2
138,389_C,c1c2nc(c3c(c(c(OCC)c(c3F)F)F)F)c(c3c(F)c(F)c(OCC)c(F)c3F)nc2c(cc1),-15.368,-6.689216,A,2
139,390_C,c1c(F)cc(c2ncc(OCC)nc12),-15.732,-6.957484,A,2
140,391_C,c1c2nc(c3c(c(c(OCC)c(c3F)F)F)F)c(c3c(F)c(F)c(OCC)c(F)c3F)nc2c(c(c1F)F),-15.447,-6.747439,A,2
141,393_C,c1c(F)c(F)c(c(OCC)c1OCC),-14.525,-6.067925,D,1
142,394_C,c1c(C#N)cc(s1),-15.618,-6.873466,A,1
143,397_C,c1c2cc(CC)sc2c(c2c1sc(CC)c2),-14.035,-5.706795,D,3
144,39_C,c1cc2c(c3cc(Cl)c(CC)s3)c3c(c(c4sc(CC)c(c4)Cl)c2s1)cc(s3),-13.729,-5.481273,D,3
145,3_C,c1sc(c2sc(C(=O)OCC)c(c12)F),-14.034,-5.706058,D,2
146,45_C,c1sc2-c3c([Si](CC)(CC)c2c1)cc(s3),-13.599,-5.385463,D,3
147,47_C,c1c2C(=O)N(CC)C(=O)c2c(c2c1nsn2),-16.084,-7.216908,A,3
148,49_C,c1c(F)c(F)c(c2c1nsn2),-15.85,-7.04445,A,2
149,4_C,c1cc2c(c3cc(F)c(CC)s3)c3c(c(c4sc(CC)c(c4)F)c2s1)cc(s3),-13.775,-5.515175,D,3
150,53_C,c1sc2nc(sc2n1),-14.853,-6.309661,D,2
151,56_C,c1sc(c2C(=O)N(CC)C(=O)c12),-15.819,-7.021603,A,2
152,57_C,c1ccc(c2nsnc12),-15.507,-6.791659,A,2
153,5_C,c1sc(c2C(=O)c3c(CC)sc(CC)c3C(=O)c12),-14.924,-6.361988,D,3
154,60_C,c1c2nn(CC)nc2c(cc1),-15.553,-6.825561,A,2
155,61_C,c1c2nn(CC)nc2c(c(c1OC)OC),-14.598,-6.121726,D,2
156,69_C,c1cc(OCC)c(cc1OCC),-14.24,-5.85788,D,1
157,6_C,c1ccc(s1),-15.023,-6.434951,D,1
158,70_C,c1cc2c(c3ccc(SCC)s3)c3c(c(c4ccc(SCC)s4)c2s1)cc(s3),-13.269,-5.142253,D,3
159,71_C,c1c(F)c(F)c(c2nc(OCC)c(nc12)C),-15.59,-6.85283,A,2
160,79_C,C=C,-16.715,-7.681955,A,0
161,7_C,c1cc2c(c3ccc(CC)s3)c3c(c(c4ccc(CC)s4)c2s1)cc(s3),-13.604,-5.389148,D,3
162,80_C,C=CC=C,-15.483,-6.773971,A,0
163,81_C,c1cc2c(c3ccc(SCC)cc3)c3c(c(c4ccc(SCC)cc4)c2s1)cc(s3),-13.806,-5.538022,D,3
164,82_C,c1cc(F)c(s1),-15.172,-6.544764,D,1
165,8_C,c1cc(CC)c(s1),-14.861,-6.315557,D,1
166,92_C,c1c2c(nn(CC)n2)c(c2C(=O)N(CC)C(=O)c12),-16.134,-7.253758,A,3
167,93_C,c1cc2c(c3cc(F)c(CC)c(F)c3)c3c(c(c4cc(c(CC)c(c4)F)F)c2s1)cc(s3),-14.222,-5.844614,D,3
168,99_C,C#C,-17.544,-8.292928,A,0
