index,smiles,filename_or_index
178,N1[C@H]2CSC[C@H]2N(S1),10
179,N1[C@H]2[C@H](N[C@@H]3[C@@H](CSC3)N2)N(S1),11
180,c1scc2c1C[C@H](C)[C@H](C2)C(=C)C=C,12
181,c1[nH]c(c2c1nccn2)C=C,13
182,C1Oc2cscc2OC(C1=O),14
183,c1sc(c2c1CC(=O)C(=O)C2)C=C,15
184,c1cc2c(cs1)c1c(ccs1)c2C=C,16
185,c1cc2c(s1)c1c(C2)cc(s1),17
186,c1c(c2c(s1)nc1c(c2CC)CCS1),18
187,c1sc(c2c1cc(F)c(F)c2),19
188,c1cc(N(=O)=O)c(cc1),20
189,c1c(C)cc(s1),21
190,c1c2nonc2c(cc1)C=C,22
191,c1sc(CC)c(c1CC),23
192,c1[nH]c(C=C)c(c1)C=C,24
193,c1c(C(=O)C)scc1C=C,25
194,c1oc(c(c1F)F),26
195,c1ccc(c2c1cccn2)C=C,27
196,c1cc2c(C=C/C/2=C\2/C=Cc3c2cccc3)c(c1),28
197,c1c(F)cccc1C=C,29
198,c1sc(c(c1N(=O)=O)C#N)C=C,30
199,C(=C)c1sc(C)c(c1)C=C,31
200,c1sc(c2c1SCCCS2),32
201,c1cc2occoccoccoccoc2cc1C=C,33
202,c1c(O)sc2c1[nH]c1c2sc(c1),34
203,c1c2ccccc2c(c1=O),35
204,c1sc(c2c1[C@H](C=C)CCC2)C=C,36
205,c1c2C(=O)OCc2ccc1C=C,37
206,c1sc(c2c1C=[S]C=C2)C=C,38
207,c1c(C(F)(F)F)sc(C#N)c1C=C,39
208,c1sc(c2c1cc(C(=O)C)cc2),40
209,C(=C)N=N,41
210,c1cc2c(cc1)c1c(C2(CC)CC)cc(cc1)C=C,42
211,c1sc(c2c1c(C#N)ccc2C#N),43
212,c1sc(OC)c(C(=O)C)c1C=C,44
213,c1sc(c2c1[nH]c(N(=O)=O)c2)C=C,45
214,c1cc2c(C=C/C/2=C\2/C=Cc3c2cccc3)c(c1)C=C,46
215,c1c(OC)sc(OC)c1C=C,47
216,c1sc(c(c1)C#N)C=C,48
217,c1ccc(=O)c1,49
218,C1=C2C(C(=O)S1)=CN(C2=O)C=C,50
219,c1sc(c2c1CCC[C@H]2O),51
220,c1c2CCc2sc1C=C,52
221,c1cccc2c1N(C)C(=O)C2C1C(=O)N(C)c2cc(ccc12),53
222,C1SC=C1C(=O)OC,54
223,c1sc(c(c1)C(=O)C(F)(F)F)C=C,55
224,c1sc(c2c1c(C)ccc2),56
225,c(s1)c2c(=O)c3cn(CC)cc3c(=O)c2c1C=C,57
226,C1=C2C(C(=O)O1)=C(OC2=O),58
227,c1oc(c(c1OC)C#N)C=C,59
228,c1c(c2c(s1)[C@H]1[C@H](C2(CC)CC)CCS1),60
229,c1sc2c(c3ccoc3cc2c1),61
230,C=NNc1ccc(cc1),62
231,c1c(OCC)c(OCC)c(OCC)cc1C=C,63
232,c1oc2c(C(=O)N)c(oc2c1)C=C,64
233,c(s1)c2NCOc2c1,65
234,c1cc(CN)ccc1CN,66
235,c1sc(c2c1sc(C(=O)CC)c2F),68
236,c1c(C(F)(F)F)sc(C#N)c1,69
237,C1C2CC(=C)O[C@H](C1C=CC2C)CCC,70
238,c1sc(c2c1SCC(=O)CS2)C=C,71
239,c1sc(c2c1C(=O)c1ccccc1C2=O),72
240,C1=C(C=C/C/1=C\1/C=CC(=C1)N)N,73
241,c1sc(c2c1nco2)C=C,74
242,C1=c2ccccc2=C(C1=C),75
243,c1n(CC)nc(c1CC)CCC=C,76
244,c1sc(c2c1C[C@H](C(F)(F)F)CC2)C=C,77
245,c1sc(c2c1C[C@H](F)[C@@H](F)C2),78
246,c1sc2cc(C(=O)O)sc2c1,79
247,C1=C(Oc2c(csc2)O1)C=C,80
248,c1sc(c(c1N(=O)=O)N(=O)=O)C=C,81
249,C1=[S]C(=S)C2=C1C=C(S2(=O)=O),82
250,c1c2c(ncc(CC)n2)c(s1),83
251,N1C(=O)C=C(C1=O)C=C,84
252,c1cnc(c2c1nccn2)C=C,85
253,c1sc(c2c1OCCO2)C=C,86
254,c1sc2c(c1)n(C)c1c2sc(c1)C=C,87
255,c1sc2c(c1)sc1cc(sc21),88
256,c1scc(C#N)c1N,89
257,c1sc(c2c1SCC(=O)CO2)C=C,90
258,C1=C2C(C(=O)O1)=C(OC2=O)C=C,91
259,c1occc1S,92
260,c(s1)c2cc(OC)c(OC)cc2c1C=C,93
261,c1c2c(OCC)c3c(ccs3)c(OCC)c2sc1C=C,94
262,C#CC#C,95
263,c1sc(c2c1cc(S)c(O)c2),96
264,c1c(CC)sc(c1),97
265,c1ccc(cc1)C=C,98
266,c1sc(c2c1sc(=O)c(=O)s2)C=C,99
267,c1sc(c2c1c(C#N)ccc2)C=C,100
268,C1=CC(N(=O)=O)C(C2C=CC=C2N(=O)=O)=C1C=C,101
269,C1=C/C(/C(=C1)C#N)=C\1/C=C(C=C1C#N),102
270,c1cc2c(cc1)c1c(C2(C)C)cc(cc1),103
271,c1[nH]c(=O)c2c1c(=O)[nH]c2,105
272,N(CC)c1cscc1N(CC)C=C,106
273,c1sc(c2c1c(N(=O)=O)ccc2N),107
274,c1c(C)cc(c(c1)C)C=CC=C,108
275,c1c2c(nccn2)c(c2c1nccn2)C=C,109
276,c1scc2c1N(CCN2C(=O)O)C=C,110
277,c1scc(N(O)O)c1N(O)O,111
278,C1=C2OCCSC2=C([S@@]1NC)C=C,112
279,C1=C(N(=O)=O)C=C/C/1=C\1/C=CC(N(=O)=O)=C1,113
280,c1scc2c1C=C(S2(=O)=O)C=C,114
281,c(s1)c2scnc2c1,115
282,c1c2c(SCC2)c2c(CCS2)c1,116
283,c1c(C#N)sc(OC)c1C=C,117
284,c1sc(c2c1[C@H](C)CCC2)C=C,118
285,C/C=C\1/OCCC(OCC1)C=C,119
286,c1csc2c1c(CC)c1c(c2CC)scc1C=C,120
287,c1sc(c2c1cc(S)cc2)C=C,121
288,c1c(C(=O)C(F)(F)F)scc1C=C,122
289,c1csc2c1c(CC)c(CC)c1c(csc21)C=C,123
290,c1sc(c2c1[C@H](C)CC[C@H]2C)C=C,124
291,c1cccc2c1N(C)C(=O)C2C1C(=O)N(C)c2cc(ccc12)C=C,125
292,c1ccc(=O)c1C=C,126
293,c1sc(c2c1C[C@H](C#N)[C@@H](C#N)C2),127
294,c1c2cscc2c(nn1),128
295,C1=CC=C(S1(=O)=O)C=C,129
296,c1sccc1SC=C,130
297,c1nc2c(c(=O)c3c2ncc3)c1C=C,131
298,c1sc(c(c1CC)CC)C=CC=C,132
299,c1sc(c2c1C[C@H](S)CC2),133
300,c1[nH]c2cc([nH]c2c1),134
301,c1c(F)c(F)c(c2c1nn(CC)n2)C=C,135
302,c1nc2c(s1)c1c(c(c2CC)CC)N(CS1)C=C,137
303,c1scc2c1C(=[S@@](OC)C(=C2)OC),138
304,c1sc(c2c1OCSS2)C=C,139
305,C=Cc1csc(c1)C=C,140
306,c1sc(c2c1C[C@H](OC)[C@@H](OC)C2)C=C,141
307,c1c2n(CCC)c3c(c2ccc1)cccc3,143
308,c1cc2c(s1)cc(s2)C=C,144
309,c1sc(CC)c(c1CC)C=C,146
310,c1[nH]c(cc1)C#C,147
311,c1sc(c2c1c(C(=O)C(F)(F)F)ccc2)C=C,148
312,c1scc(OC)c1NC=C,149
313,c1occ(N(=O)=O)c1N,150
314,c1cnc(c2c1nccn2),152
315,c1sc(c2c1[C@H](C(=O)O)CC[C@H]2O)C=C,153
316,Sc1cscc1SC=C,154
317,N1C(=S)C=C(C1=S)C=C,155
318,c1oc(cc1C(=O)C(F)(F)F)C=C,156
319,c1oc(cc1C#N)C=C,157
320,c1sc(c(c1C)C)C=C,158
321,c1cc(C)cc(c1C)C=C,159
322,c1sc(c2c1C(=O)NC2=O),160
323,c1c(C#N)sc(OC)c1,161
324,c1c(OC)sc(OC)c1,162
325,c1cc2c(s1)c1c([nH]2)cc(s1),163
326,c1sc(cc1)C#C,164
327,c1sc(c2c1c(S)ccc2O),165
328,c1sc(c2c1sc(=O)s2)C=C,166
329,c1sc(c2c1c(F)c(F)c(F)c2F),167
330,c1c2nsnc2c(cc1)C=C,168
331,c1oc2c(C(=O)N)c(oc2c1),169
332,c1sc(c2c1c(C(=O)OC)ccc2),170
333,c1cc(CC)c(c(c1)CC)/C=C(/C),171
334,c1sc(c(c1)C=O)C=C,173
335,c1[nH]cnc1,174
336,c1sc(O)c(c1)C=C,175
337,c1sc(c2c1ocn2)C=C,177
338,c1sc(c2c1[C@H](C(F)(F)F)CC[C@H]2OC)C=C,178
339,c1csc2c1c(CC)c1c(n2)scc1,179
340,c1c(CC)c(ccc1)C=C,180
341,C1=C(N(=O)=O)C=C/C/1=C\1/C=CC(N(=O)=O)=C1C=C,181
342,c1sc(c2c1C(=O)CC2=O),182
343,N1[C@@H]2C[C@@H]3NSN[C@@H]3C[C@@H]2N(S1),183
344,c1c2c(=O)sc(=O)c2c(c2c1c(=O)oc2=O),184
345,c1sc(c2c1SCS2),185
346,c1sc(c2c1CC[C@@H](N(=O)=O)C2),186
347,c1oc(nc1)C=C,187
348,C#Cc1sc(cc1)C#C,188
349,c1scc(OC)c1N,189
350,c1sc(c2c1[C@H](C#N)CC[C@H]2OC),190
351,c1sc(c2c1CCC[C@H]2O)C=C,191
352,c1c(OCC)cc(OCC)c(c1),193
353,c1sc(c2c1ncnc2),194
354,c1cc2c(C(CN)CN)c3cC(ccc3c2cc1)C=C,195
355,c1cc2c(cc1)c1c(C2)cc(cc1)C=C,196
356,c1sc(C)c(c1)C=C,197
357,c1sc(c2c1SCC(=O)CO2),198
358,c1sc(N(=O)=O)cc1C=C,199
359,c(s1)c2ccs(=N)(=O)c2c1,200
360,c1sc(c2c1C[C@H](F)[C@@H](F)C2)C=C,201
361,N(CC)c1ccc(c(c1)C=C)N(CC),202
362,c1c2C(=O)OCc2ccc1,203
363,c1c2cS(F)cc2ccc1,204
364,C1=C(F)C=C/C/1=C\1/C(=CC(=C1)F)C=C,205
365,c1sc(c2c1c(C(=O)C)ccc2)C=C,206
366,c1oc2c(c1)C(=O)c1c2oc(c1),207
367,c1occc1N,208
368,c1c2c(sc(C(=O)OCC)c2F)c(s1)C=C,209
369,c1occc1SC=C,210
370,C1=C(Cc2c(C1)nsn2)C=C,211
371,C1=CC(OC)=C(/C/1=C\1/C=C(OC)C=C1),212
372,C1=CC=C(C1=S),213
373,N(CC)c1ccc(c(c1)C=C)N(CC)C=C,214
374,c1sc(c2c1[C@H](C)CCC2),215
375,C1=CC(C#N)=C/C/1=C/1\C(=CC(=C1)C#N)C=C,216
376,c1[nH]cc2c1[nH]cc2C=C,217
377,c1n(CC)c(cc1)C=C,218
378,c1c(cc2c(c1)nccn2)C=C,219
379,C1=C[C@@H]2[C@H](C1)[C@@H]1[C@@H](C=CC1)C2=C,220
380,c1oc(c(c1C#N)C#N)C=C,221
381,c1sc(c2c1c(C=C)ccc2C),222
382,c1sc(c2c1ocn2),223
383,c1scc2c1C(=[S@@](OC)C(=C2)OC)C=C,224
384,c1c(OC)cc(c(c1)OCC(CC)CC)C=C,225
385,c1sc(c2c1SCS2)C=C,226
386,c1cc(CC)c(c(c1)CC)/C=C(/C)C=C,227
387,C1=C2C(C(=O)S1)=C(OC2=O),228
388,c1sc(c2c1[C@H](C=C)CCC2),229
389,c1oc(cc1C=O)C=C,230
390,c1sc(c2c1cc(C(=O)OC)s2)C=C,231
391,C1=C(CC2=C1C[CH]2)C=C,232
392,c1sc2c(c1)c1c(scc1)c(c2)C=C,233
393,c1sc(c2c1[nH]c(=S)[nH]2),234
394,c1cc(c2c(c1)c1c(s2)cccc1),235
395,c1sc(c(c1O)C(=O)O),236
396,c1oc(c(c1C#N)C(F)(F)F),237
397,N1[C@H]2[C@H](N[C@@H]3[C@@H](CSC3)N2)N(S1)C=C,238
398,c1sc(c2c1OCCCC2)C=C,239
399,c1sc(c2c1nc(OCC)c(CN)n2),240
400,c1sc(c(c1O)C#N)C=C,241
401,C1SCN2[C@H]1NCC2,242
402,c1oc2c(c1)C(=S)c1c2oc(c1),243
403,c1c2c(=O)n(c(=O)c2cc2c1c(=O)[nH]c2=O)C=C,244
404,c1sc(c2c1sc(=S)o2),245
405,c1sc(c2c1OCCCO2)C=C,246
406,c1sc(c2c1c(C#N)ccc2OC)C=C,247
407,c1sc(c2c1cc(C(F)(F)F)cc2),248
408,c1occ(N(=O)=O)c1NC=C,249
409,c1c(C)Nc(C)c1,250
410,c1scc2c1c(ccc2O),251
411,c1sc(c2c1C[C@H](C(F)(F)F)[C@@H](OC)C2)C=C,253
412,C1=CC=C(C1=S)C=C,254
413,c1c2cS(F)cc2ccc1C=C,255
414,c1sc2c(c1)C(=O)C(=C2)C=C,256
415,c1sc(c2c1cc(C)c(C)c2),257
416,c1sc(c2c1c(F)ccc2F),258
417,c1[nH]c2[nH]c(nc2n1)C=C,259
418,c1c(OCCC)c(cc(c1)OCCC)C=C,260
419,c1sc(c2c1c(F)ccc2F)C=C,261
420,c1c(c2c(s1)nc1c(c2CC)CCS1)C=C,262
421,c1c2c(cccc2)c(s1)C=C,263
422,c1cc2c(s1)c1c(c(=O)n(c2=O)CC)cc(s1),264
423,c1sc(c2c1C=[S]C=C2),265
424,c1sc(c2c1cc(S)cc2),266
425,c1sc(O)c(c1),267
426,c1c(C)c(c2c1ccco2)C=C,268
427,C1=[S]C(=O)C2=C1C(=O)[S]=C2,269
428,c1sc(C(=O)O)cc1OC=C,270
429,c1sc(c2c1cc(C=C)cc2)C=C,271
430,c1sc(c(c1SCC)SCC)C=CC=C,273
