,AorD,HOMO,LUMO,optbg,wavelength_film,wavelength_soln,HOMO,LUMO,optbg,max_abs,total_mins,sTDA_HOMO,sTDA_LUMO,sTDA_optbg,sTDA_max_abs,sTDA_total_mins
NTIC-Me,A,-5.53,-3.73,1.74,670.0,647.0,,,,,,,,,,
NTIC-OMe,A,-5.53,-3.7,1.71,675.0,651.0,,,,,,,,,,
NTTI,A,-5.38,-3.83,1.45,783.0,,,,,,,,,,,
NTz-Np,A,-6.01,-3.6,1.73,,533.0,,,,,,,,,,
NTz-Teh-FA,A,-6.06,-3.38,2.13,,509.0,,,,,,,,,,
o-4TBC-2F,A,-5.63,-4.0,1.34,825.0,671.0,,,,,,,,,,
o-BTP-C6Ph,A,-5.53,-3.76,1.39,790.0,730.0,,,,,,,,,,
OCH3-2F,A,-5.4,-4.04,1.33,796.0,752.0,,,,,,,,,,
o-DOC6-2F,A,-5.49,-3.83,1.51,744.0,712.0,,,,,,,,,,
OF-PCIC,A,-5.66,-3.86,1.59,702.0,660.0,-7.63,-2.18,2.47,502.8,15.783,-7.63,-2.18,2.47,502.8,15.783
O-IDTBCN,A,-5.8,-3.8,,712.0,,,,,,,,,,,
O-IDTBR,A,-5.52,-3.89,1.68,673.0,650.0,,,,,,,,,,
o-IO1,A,-5.44,-4.15,1.28,850.0,790.0,,,,,,,,,,
o-IO2,A,-5.41,-4.21,1.2,920.0,835.0,,,,,,,,,,
O-NTIC,A,-5.51,-3.67,1.7,671.0,650.0,,,,,,,,,,
O-NTNC,A,-5.54,-3.78,1.64,706.0,679.0,,,,,,,,,,
ORCN,A,-5.37,-3.56,1.64,676.0,666.0,,,,,,,,,,
P,D,-5.27,-3.6,,,,,,,,,,,,,
P(NDI2OD-FT2),A,-5.5,-3.91,1.59,630.0,,,,,,,,,,,
P(NDI2OD-T2),A,-5.49,-4.05,1.44,704.0,,,,,,,,,,,
P(T4-DPP-M),D,-5.4,-4.0,1.4,,,,,,,,,,,,
P(T4-iI-M),D,-5.5,-3.9,1.55,,,,,,,,,,,,
P(T4-TPD-M),D,-5.6,-3.8,1.84,,,,,,,,,,,,
P1_mishra,D,-5.1,-3.48,1.6,588.0,532.0,-6.64,-1.44,2.32,535.3,22.65,-6.64,-1.44,2.32,535.3,22.65
P1_yang,D,-5.17,-2.9,1.87,563.0,561.0,-7.38,-0.65,3.3,375.2,6.433,-7.38,-0.65,3.3,375.2,6.433
P104,D,-5.29,-3.68,1.59,657.0,651.0,-6.74,-1.47,2.36,526.1,29.967,-6.74,-1.47,2.36,526.1,29.967
P105,D,-5.38,-3.62,1.66,652.0,647.0,,,,,,,,,,
P2,D,-5.5,-3.59,1.93,548.0,544.0,,,,,,,,,,
P2_yang,D,-5.33,-2.94,1.9,594.0,591.0,-7.3,-0.78,3.16,392.7,6.367,-7.3,-0.78,3.16,392.7,6.367
P2F-EH,D,-5.36,-3.04,,,,,,,,,,,,,
P2F-Ehp,D,-5.46,-3.13,,,,,,,,,,,,,
P2F-EHp,D,-5.38,-3.06,,,,,,,,,,,,,
P2F-EO,D,-5.41,-3.08,,,,,,,,,,,,,
P3_yang,D,-5.54,-2.98,1.92,593.0,592.0,-7.42,-0.86,3.16,392.0,6.917,-7.42,-0.86,3.16,392.0,6.917
P3HT,D,-5.01,-3.12,,522.0,450.0,,,,,,,,,,
P4_yang,D,-5.68,-3.13,2.0,577.0,576.0,-7.57,-0.91,3.24,382.9,7.1,-7.57,-0.91,3.24,382.9,7.1
P-4FP,D,-5.54,-3.61,,,,,,,,,,,,,
P5T,D,-5.41,-3.48,,,,,,,,,,,,,
P5T-2F,D,-5.51,-3.56,,,,,,,,,,,,,
PB24-TTDC,D,-5.36,-3.58,1.91,556.0,,,,,,,,,,,
PB2T,D,-5.63,-3.63,2.24,416.0,413.0,-6.71,-1.16,2.61,474.9,38.75,-6.71,-1.16,2.61,474.9,38.75
PB3T,D,-5.39,-3.37,1.96,540.0,534.0,-6.8,-1.12,2.65,468.0,47.617,-6.8,-1.12,2.65,468.0,47.617
PB68-3TDC,D,-5.41,-3.57,1.92,555.0,,,,,,,,,,,
PBB,D,-5.54,-3.59,1.95,551.0,512.0,-6.8,-1.23,2.63,471.9,40.433,-6.8,-1.23,2.63,471.9,40.433
PBB-Cl,D,-5.64,-3.64,2.0,580.0,528.0,-6.94,-1.41,2.76,448.5,64.567,-6.94,-1.41,2.76,448.5,64.567
PBB-F,D,-5.57,-3.57,2.0,579.0,529.0,-6.93,-1.39,2.7,417.4,72.383,-6.93,-1.39,2.7,417.4,72.383
PBB-H,D,-5.47,-3.47,2.0,580.0,572.0,,,,,,,,,,
PBBSB,D,-5.19,-3.63,,,,,,,,,,,,,
PBBSe-Cl,D,-5.36,-3.63,1.73,645.0,643.0,-6.78,-1.4,2.42,511.5,59.15,-6.78,-1.4,2.42,511.5,59.15
PBBSe-H,D,-5.16,-3.45,1.71,657.0,651.0,-6.6,-1.26,2.42,512.3,58.467,-6.6,-1.26,2.42,512.3,58.467
PBCIT,D,-5.47,-3.61,1.64,695.0,691.0,,,,,,,,,,
PBCT-2F,D,-5.58,-3.66,,,,,,,,,,,,,
PBDB-ST,D,-5.37,-3.59,,,,,,,,,,,,,
PBDB-T,D,-5.33,-3.48,1.84,625.98,622.5,-6.68,-1.18,2.53,489.8,52.433,-6.68,-1.18,2.53,489.8,52.433
PBDB-T-2Cl,D,-5.52,-3.6,,,,,,,,,,,,,
PBDB-T-4Cl,D,-5.38,-3.47,,,,,,,,,,,,,
PBDB-TF,D,-5.49,-3.64,1.8,618.48,615.0,-6.9,-1.28,2.6,428.9,49.617,-6.9,-1.28,2.6,428.9,49.617
PBDB-TSCl,D,-5.61,-3.8,1.81,615.0,608.0,-6.87,-1.38,2.53,489.9,57.3,-6.87,-1.38,2.53,489.9,57.3
PBDB-T-SF,D,-5.41,-3.62,,,,,,,,,,,,,
PBDE-DFDT,D,-5.5,-3.56,,,,,,,,,,,,,
PBDE-TT,D,-5.49,-3.52,,,,,,,,,,,,,
PBDS-TZ,D,-5.41,-3.46,,,,,,,,,,,,,
PBDT-DTN,D,-5.37,-3.53,1.84,572.0,538.0,,,,,,,,,,
PBDTNO-BDD,D,-5.27,-3.44,,,,,,,,,,,,,
PBDT-NQx,D,-5.24,-3.42,1.8,632.0,624.0,-6.49,-1.16,2.55,485.7,121.617,-6.49,-1.16,2.55,485.7,121.617
PBDTNS-BDD,D,-5.35,-3.54,,,,,,,,,,,,,
PBDT-S-2TC,D,-5.47,-3.58,,,,,,,,,,,,,
PBDTS-DTBTO,D,-5.24,-3.6,,,,,,,,,,,,,
PBDT-Se-TAZ,D,-5.23,-3.43,1.92,597.0,583.0,,,,,,,,,,
PBDTSF-TZNT,D,-5.45,-3.41,,,,,,,,,,,,,
PBDTS-NQx,D,-5.31,-3.46,1.81,636.0,628.0,,,,,,,,,,
PBDTS-Se-TAZ,D,-5.29,-3.52,1.9,602.0,592.0,,,,,,,,,,
PBDTS-TDZ,D,-5.39,-2.8,,,,,,,,,,,,,
PBDTS-TZNT,D,-5.39,-3.3,,,,,,,,,,,,,
PBDTTAZ-NaPh,D,-5.44,-3.49,,,,,,,,,,,,,
PBDT-TDZ,D,-5.35,-2.78,,,,,,,,,,,,,
PBDTTPD,D,-5.7,-3.7,,,,,,,,,,,,,
PBDTTS-TTffBT,D,-5.45,-3.69,,,,,,,,,,,,,
PBDTTT-EFT,D,-5.24,-3.66,,,,,,,,,,,,,
PBDTTT-E-T,D,-5.09,-3.22,,,,,,,,,,,,,
PBDTT-TT-F,D,-5.3,-3.6,,,,,,,,,,,,,
PBFSF,D,-5.27,-3.72,,,,,,,,,,,,,
PBF-SF,D,-5.46,-3.58,,,,,,,,,,,,,
PBFTT,D,-5.47,-3.56,,,,,,,,,,,,,
PBFZ-OP,D,-5.33,-3.01,,,,,,,,,,,,,
PBI,A,-5.8,-3.6,,,,,,,,,,,,,
PBiTPD,D,-5.2,-3.45,1.78,630.0,610.0,,,,,,,,,,
PBN-S,D,-5.48,-3.52,,,,,,,,,,,,,
PBPD-Th,D,-5.42,-3.36,,,,,,,,,,,,,
PBQx-TF,D,-5.41,-2.82,,,,,,,,,,,,,
PBT1-C,D,-5.43,-3.37,1.87,616.0,611.0,-6.68,-1.14,2.55,487.0,61.1,-6.68,-1.14,2.55,487.0,61.1
PBT1-C-2Cl,D,-5.59,-3.53,1.85,629.0,629.0,-6.94,-1.3,2.69,460.2,55.233,-6.94,-1.3,2.69,460.2,55.233
PBT1Cl-Bz,D,-5.39,-3.57,1.93,588.0,581.0,-6.75,-1.3,2.55,485.5,39.133,-6.75,-1.3,2.55,485.5,39.133
PBT1-EH,D,-5.43,-3.43,,,,,,,,,,,,,
PBT2Clas-Bz,D,-5.48,-3.56,1.97,574.0,569.0,-6.74,-1.24,2.56,436.4,39.75,-6.74,-1.24,2.56,436.4,39.75
PBT2Cls-Bz,D,-5.47,-3.58,1.96,585.0,580.0,,,,,,,,,,
PBT4Cl-Bz,D,-5.64,-3.57,2.01,573.0,571.0,,,,,,,,,,
PBT7-Th,D,-5.27,-3.48,1.61,705.0,701.0,,,,,,,,,,
PBTA-BO,D,-5.31,-2.89,,,,,,,,,,,,,
PBTA-PS,D,-5.34,-3.4,,,,,,,,,,,,,
PBTA-PSF,D,-5.52,-3.54,,,,,,,,,,,,,
PBTB-TF,D,-5.46,-3.63,,,,,,,,,,,,,
PBTCl,D,-5.43,-3.55,,,,,,,,,,,,,
PBT-Cl,D,-5.51,-3.6,,,,,,,,,,,,,
PBT-F,D,-5.39,-3.65,,,,,,,,,,,,,
PBTIBDTT,D,-5.47,-3.6,,,,,,,,,,,,,
p-BTP-C6Ph,A,-5.59,-3.85,1.36,805.0,728.0,,,,,,,,,,
PBT-S-TTz,D,-5.45,-3.5,1.95,597.0,597.0,-6.69,-1.19,2.57,482.9,41.667,-6.69,-1.19,2.57,482.9,41.667
PBT-TTz,D,-5.41,-3.46,1.95,589.0,589.0,,,,,,,,,,
PBZ,D,-5.18,-3.22,,,,,,,,,,,,,
PBZ1,D,-5.27,-3.06,,,,,,,,,,,,,
PBZ-Cl,D,-5.39,-3.41,,,,,,,,,,,,,
PBZ-ClSi,D,-5.56,-3.5,,,,,,,,,,,,,
PBZ-m-CF3,D,-5.49,-3.22,,,,,,,,,,,,,
PCDTBT,D,-5.5,-3.6,,,,,,,,,,,,,
PCE10-2Cl,D,-5.5,-3.93,,,,,,,,,,,,,
PCE10-2F,D,-5.47,-3.9,,,,,,,,,,,,,
PCE10-SF,D,-5.53,-3.76,,,,,,,,,,,,,
P-CIT,D,-5.5,-3.55,,,,,,,,,,,,,
PDBT-2Cl,D,-5.49,-3.59,1.92,554.0,562.0,,,,,,,,,,
PDBT-2F,D,-5.43,-3.61,1.82,579.0,576.0,-6.83,-2.97,0.72,597.7,111.8,-6.83,-2.97,0.72,597.7,111.8
PDBT-Cl,D,-5.41,-3.56,1.83,583.0,583.0,-6.74,-1.24,2.56,468.5,76.933,-6.74,-1.24,2.56,468.5,76.933
PDBT-F,D,-5.39,-3.57,1.81,584.0,577.0,,,,,,,,,,
PDBT-T1,D,-5.36,-3.43,,,,,,,,,,,,,
PDCBT,D,-5.31,-3.0,1.9,600.0,483.0,-6.96,-1.08,2.59,478.7,13.75,-6.96,-1.08,2.59,478.7,13.75
PDCBT-2Cl,D,-5.44,-3.0,1.95,585.0,486.0,-7.11,-1.19,2.68,463.0,16.067,-7.11,-1.19,2.68,463.0,16.067
PDCBT-2F,D,-5.5,-3.36,1.92,592.0,501.0,-6.99,-1.4,2.43,509.4,15.6,-6.99,-1.4,2.43,509.4,15.6
PDCBT-Cl,D,-5.34,-3.01,1.91,599.0,491.0,-7.02,-1.23,2.57,481.6,12.833,-7.02,-1.23,2.57,481.6,12.833
PDCBT-F,D,-5.32,-2.98,1.93,594.0,501.0,,,,,,,,,,
PDCPDT-BC,A,-5.4,-3.85,1.53,717.0,680.0,,,,,,,,,,
PD-dIDTC6,A,-5.51,-3.89,1.65,681.0,681.0,-7.15,-1.94,2.44,507.3,20.75,-7.15,-1.94,2.44,507.3,20.75
p-DOC6-2F,A,-5.47,-3.79,1.37,821.0,742.0,,,,,,,,,,
PDTB-EF-T,D,-5.5,-3.59,1.93,548.0,544.0,,,,,,,,,,
PDTF-TZNT,D,-5.24,-3.23,1.84,617.0,597.0,-6.52,-1.04,2.5,495.6,33.65,-6.52,-1.04,2.5,495.6,33.65
PDTH-TZNT,D,-5.16,-3.1,1.94,541.0,527.0,-6.37,-0.94,2.44,508.4,34.717,-6.37,-0.94,2.44,508.4,34.717
PDTSBT,D,-5.3,-3.5,,,,,,,,,,,,,
PF2-DTC,A,-5.76,-3.9,,,,,,,,,,,,,
PF2-DTGe,A,-5.78,-3.9,,,,,,,,,,,,,
PF2-DTSi,A,-5.74,-3.87,,,,,,,,,,,,,
PF3-DTC,A,-5.73,-3.91,,,,,,,,,,,,,
PF3-DTCO,A,-5.71,-3.95,,,,,,,,,,,,,
PFA1,A,-5.74,-3.84,1.41,815.0,,,,,,,,,,,
PFBDB-T,D,-5.47,-3.46,,,,,,,,,,,,,
PFBDT-IDTIC,A,-5.78,-3.85,,,,,,,,,,,,,
PFBZ,D,-5.36,-3.42,,,,,,,,,,,,,
PffBT4T,D,-5.36,-3.71,,,,,,,,,,,,,
PffBT4T-2DT,D,-5.29,-3.65,,,,,,,,,,,,,
PffBT4T-B,D,-5.61,-3.58,,,,,,,,,,,,,
PffBT-DPP,D,-5.66,-3.56,,,,,,,,,,,,,
PffQx-PS,D,-5.4,-3.55,,,,,,,,,,,,,
PffQx-T,D,-5.36,-3.56,,,,,,,,,,,,,
PffT2-FTAZ-2DT,D,-5.28,-3.37,1.91,620.0,,,,,,,,,,,
PFOPB,D,-5.5,-3.64,,,,,,,,,,,,,
P-FP,D,-5.54,-3.61,,,,,,,,,,,,,
P-FT,D,-5.48,-3.48,,,,,,,,,,,,,
Ph-DTDP-IC,A,-5.53,-4.0,1.61,701.0,673.0,,,,,,,,,,
Ph-DTDP-TIC,A,-5.33,-3.89,1.46,740.0,707.0,,,,,,,,,,
Ph-DTDP-TTIC,A,-5.28,-3.92,1.45,703.0,695.0,-7.07,-1.95,2.35,526.7,51.133,-7.07,-1.95,2.35,526.7,51.133
PhITBD,A,-5.5,-3.78,1.18,656.0,606.0,-7.56,-2.2,2.45,506.6,14.55,-7.56,-2.2,2.45,506.6,14.55
PI-4F,A,-5.8,-4.06,1.65,703.0,665.0,-7.61,-2.16,2.34,528.7,21.667,-7.61,-2.16,2.34,528.7,21.667
PI-BT,A,-5.8,-3.3,2.34,448.0,,,,,,,,,,,
PIDIC2T,A,-5.65,-3.85,1.54,726.0,691.0,-7.48,-2.07,2.51,493.3,36.6,-7.48,-2.07,2.51,493.3,36.6
PIDIC2T2Cl,A,-5.67,-3.87,1.55,706.0,697.0,,,,,,,,,,
PIDIC2T2F,A,-5.73,-3.89,1.55,711.0,701.0,,,,,,,,,,
PIDT-DTN,D,-5.37,-3.48,1.89,542.0,544.0,-6.53,-1.07,2.43,451.4,156.133,-6.53,-1.07,2.43,451.4,156.133
p-IDTIDT-IC,A,-5.42,-3.82,1.53,721.0,696.0,,,,,,,,,,
PIDTTDTffBTA,D,-5.25,-3.63,,,,,,,,,,,,,
P-IDTzR,A,-5.31,-3.42,1.89,592.0,571.0,,,,,,,,,,
p-INPOIC,A,-5.38,-4.0,1.37,823.0,779.0,,,,,,,,,,
p-IO1,A,-5.46,-4.13,1.34,815.0,766.0,,,,,,,,,,
p-IO2,A,-5.44,-4.19,1.24,880.0,808.0,,,,,,,,,,
PIST-4F,A,-5.65,-4.03,1.46,748.0,710.0,,,,,,,,,,
PJ1-H,A,-5.64,-3.82,1.41,798.0,767.0,,,,,,,,,,
PMI-F-PMI,A,-5.74,-3.54,2.2,514.0,533.0,,,,,,,,,,
PN1,A,-5.71,-3.85,,,,,,,,,,,,,
POPB,D,-5.38,-3.57,,,,,,,,,,,,,
P-P,D,-5.33,-3.39,,,,,,,,,,,,,
p-PBDTPS-FTAZ,D,-5.32,-3.36,1.96,589.0,583.0,,,,,,,,,,
PPDT2FBT,D,-5.43,-3.67,,,,,,,,,,,,,
PT2IC-4Cl,A,-5.6,-3.9,1.31,865.0,776.0,-7.26,-2.19,2.3,539.7,11.483,-7.26,-2.19,2.3,539.7,11.483
PT4FB,D,-5.59,-3.61,,,,,,,,,,,,,
PTB4Cl,A,-5.91,-3.93,1.58,760.0,657.0,-7.64,-2.07,2.53,489.6,11.367,-7.64,-2.07,2.53,489.6,11.367
PTB4F,A,-5.87,-3.89,1.65,729.0,645.0,,,,,,,,,,
PTB7,D,-5.19,-3.43,,,,,,,,,,,,,
PTB7-Th,D,-5.21,-3.6,1.58,705.0,,,,,,,,,,,
PTBB-m,D,-5.48,-3.42,1.88,600.0,,,,,,,,,,,
PTBB-o,D,-5.52,-3.37,1.89,656.0,,,,,,,,,,,
PTBB-p,D,-5.41,-3.49,1.84,623.0,,,,,,,,,,,
PTBTz-2,D,-5.48,-3.52,,,,,,,,,,,,,
PTFB-O,D,-5.36,-3.36,,,,,,,,,,,,,
PTFB-P,D,-5.32,-3.33,,,,,,,,,,,,,
PTIBT,D,-5.41,-3.61,,,,,,,,,,,,,
PTIC,A,-5.59,-3.81,1.53,747.0,650.0,,,,,,,,,,
PTIC-4Cl,A,-5.68,-3.91,1.35,840.0,765.0,,,,,,,,,,
PTICH,A,-5.62,-3.8,1.6,709.0,637.0,,,,,,,,,,
PTICO,A,-5.48,-3.66,1.56,746.0,647.0,,,,,,,,,,
PT-IDTIC,A,-5.79,-3.87,,,,,,,,,,,,,
PT-IDTTIC,A,-5.59,-3.86,,,,,,,,,,,,,
PTO2,D,-5.59,-3.67,,,,,,,,,,,,,
PTPD,D,-5.05,-3.19,1.86,613.0,612.0,-6.8,-1.26,2.56,483.7,45.8,-6.8,-1.26,2.56,483.7,45.8
PTPDBDT,D,-5.6,-3.75,1.85,,,,,,,,,,,,
PTQ10,D,-5.54,-2.92,1.93,,,,,,,,,,,,
PTQ11,D,-5.52,-2.76,,,,,,,,,,,,,
PTQ7,D,-5.38,-2.82,,,,,,,,,,,,,
PTQ8,D,-5.68,-2.92,,,,,,,,,,,,,
PTQ9,D,-5.41,-2.87,,,,,,,,,,,,,
PTT4FB,D,-5.58,-3.58,,,,,,,,,,,,,
PTZ1,D,-5.31,-3.34,,,,,,,,,,,,,
PTZ6,D,-5.36,-3.36,,,,,,,,,,,,,
PTzBI,D,-5.34,-3.46,,,,,,,,,,,,,
PTzBI-DT,D,-5.39,-3.51,,,,,,,,,,,,,
PTzBI-oF,D,-5.25,-3.25,,,,,,,,,,,,,
PvBDT-Cl,D,-5.49,-3.49,2.04,607.0,580.0,-6.84,-0.93,2.99,414.9,44.033,-6.84,-0.93,2.99,414.9,44.033
PvBDT-F,D,-5.44,-3.45,2.01,616.0,585.0,-6.85,-0.94,2.94,421.4,42.333,-6.85,-0.94,2.94,421.4,42.333
PvBDTTAZ,D,-5.47,-3.42,,,,,,,,,,,,,
PY-1,A,-5.27,-4.0,1.4,750.0,648.0,-6.84,-1.83,2.31,536.8,20.933,-6.84,-1.83,2.31,536.8,20.933
Py-2F,A,-5.85,-3.82,1.66,645.0,606.0,,,,,,,,,,
Py-2H,A,-5.78,-3.74,1.69,626.0,594.0,,,,,,,,,,
PY5-2TZ,A,-5.7,-3.76,1.44,775.0,736.0,,,,,,,,,,
PY5-BT,A,-5.73,-3.78,1.43,778.0,737.0,,,,,,,,,,
PY5-BTZ,A,-5.67,-3.72,1.44,775.0,756.0,,,,,,,,,,
PY5-PZ,A,-5.71,-3.75,1.45,772.0,735.0,,,,,,,,,,
PY5T,A,-5.71,-3.76,,792.0,,,,,,,,,,,
PYTT-1,A,-5.66,-3.82,1.49,,,,,,,,,,,,
PYTT-2,A,-5.73,-3.83,1.49,,,,,,,,,,,,
PYTT-3,A,-5.76,-3.88,1.44,,,,,,,,,,,,
PZ1,A,-5.74,-3.86,,,,,,,,,,,,,
PZ-dIDTC6,A,-5.54,-3.85,1.57,711.0,683.0,,,,,,,,,,
QCIC1,A,-5.52,-3.8,1.41,718.0,680.0,,,,,,,,,,
QCIC3,A,-5.52,-3.89,1.38,739.0,689.0,,,,,,,,,,
QOC6-4Cl,A,-5.62,-3.87,1.45,796.0,733.0,,,,,,,,,,
QOC6-4H,A,-5.59,-3.8,1.49,763.0,713.0,,,,,,,,,,
Qx1,A,-5.42,-3.6,1.74,629.0,610.0,-6.69,-1.25,2.5,495.9,47.783,-6.69,-1.25,2.5,495.9,47.783
Qx-10F,D,-5.18,-3.49,1.69,634.0,612.0,-6.69,-1.26,2.61,474.2,68.65,-6.69,-1.26,2.61,474.2,68.65
Qx-12F,D,-5.22,-3.5,1.72,642.0,612.0,-6.76,-1.45,2.48,500.0,72.117,-6.76,-1.45,2.48,500.0,72.117
Qx1b,A,-5.35,-3.66,1.68,660.0,631.0,,,,,,,,,,
QX2,D,-5.4,-3.1,,,,,,,,,,,,,
Qx3,A,-5.38,-3.56,1.64,654.0,613.0,,,,,,,,,,
Qx3b,A,-5.27,-3.63,1.59,706.0,642.0,,,,,,,,,,
Qx3c,A,-5.3,-3.59,1.6,686.0,636.0,-7.13,-1.98,2.25,551.4,12.217,-7.13,-1.98,2.25,551.4,12.217
Qx-8F,D,-5.11,-3.45,1.66,613.0,597.0,-6.59,-1.24,2.47,502.9,70.317,-6.59,-1.24,2.47,502.9,70.317
R10-4Cl,A,-5.35,-3.91,1.43,754.0,715.0,-7.08,-1.97,2.39,518.1,40.5,-7.08,-1.97,2.39,518.1,40.5
R12-4Cl,A,-5.26,-3.95,1.35,766.0,721.0,-6.99,-1.99,2.43,511.0,40.167,-6.99,-1.99,2.43,511.0,40.167
SCH3-2F,A,-5.5,-4.06,1.41,759.0,720.0,,,,,,,,,,
SeCT-IC,A,-5.53,-3.92,1.54,745.0,710.0,,,,,,,,,,
SeTIC,A,-5.55,-3.9,1.58,712.0,688.0,,,,,,,,,,
SeTIC4Cl,A,-5.65,-4.08,1.44,761.0,716.0,,,,,,,,,,
SFBRCN,A,-5.93,-3.86,,505.0,,,,,,,,,,,
SF-HR,A,-5.53,-3.33,2.2,478.0,475.0,-7.6,-1.49,3.03,407.7,12.7,-7.6,-1.49,3.03,407.7,12.7
SF-OR,A,-5.5,-3.25,2.15,538.0,504.0,,,,,,,,,,
SIDIC,A,-5.44,-3.93,1.43,759.0,728.0,,,,,,,,,,
SJ-IC,A,-5.61,-3.94,1.49,743.0,,,,,,,,,,,
SM,D,-5.25,-3.33,,,,,,,,,,,,,
SM1,D,-5.25,-2.8,1.88,566.0,500.0,,,,,,,,,,
SM1-F,D,-5.37,-2.81,,,,,,,,,,,,,
SM1-Oct,D,-5.12,-2.8,1.8,570.0,498.0,,,,,,,,,,
SM1-S,D,-5.32,-2.81,,,,,,,,,,,,,
SM2,D,-5.04,-2.7,2.02,521.0,466.0,,,,,,,,,,
SM-Cl,D,-5.42,-3.34,,,,,,,,,,,,,
SN6IC,A,-5.38,-3.93,,,,,,,,,,,,,
SN6IC-4F,A,-5.52,-4.11,,,,,,,,,,,,,
SNBDT1-F,A,-5.3,-3.83,1.41,790.0,726.0,-7.2,-2.01,2.46,503.6,9.1,-7.2,-2.01,2.46,503.6,9.1
SSBR,A,-5.44,-3.72,1.53,662.0,659.0,-7.12,-2.09,2.07,597.6,6.033,-7.12,-2.09,2.07,597.6,6.033
SSTI,A,-5.71,-4.24,0.98,866.0,,,,,,,,,,,
S-WSeSe-Cl,A,-5.66,-3.88,1.3,853.0,768.0,-7.71,-2.26,1.99,464.7,12.217,-7.71,-2.26,1.99,464.7,12.217
SY1,A,-5.68,-3.95,,825.0,733.0,,,,,,,,,,
SY2,A,-5.67,-3.99,,836.0,739.0,,,,,,,,,,
SY3,A,-5.69,-3.98,,838.0,740.0,,,,,,,,,,
S-YSS-Cl,A,-5.71,-3.85,1.34,835.0,748.0,,,,,,,,,,
SZ5,D,-5.5,-2.92,,,,,,,,,,,,,
TB-4Cl,A,-5.81,-3.94,1.42,810.0,730.0,-7.47,-2.27,2.39,519.8,9.35,-7.47,-2.27,2.39,519.8,9.35
TBTT-BORH,A,-5.76,-3.58,1.83,626.0,540.0,-7.49,-2.01,2.36,525.2,2.85,-7.49,-2.01,2.36,525.2,2.85
TCIC2F,A,-5.59,-3.89,1.46,772.0,718.0,,,,,,,,,,
T-EHPPD-T-EHBDT,D,-5.47,-3.68,1.79,691.0,,,,,,,,,,,
TfIF-4FIC,A,-5.71,-3.96,,,,,,,,,,,,,
TfIF-IC,A,-5.51,-3.77,,,,,,,,,,,,,
TIDT-BT-R2,A,-5.25,-3.65,,604.0,,,,,,,,,,,
TPBT-RCN,A,-5.42,-3.71,,,,,,,,,,,,,
TPD3,A,-5.65,-3.79,,,,,,,,,,,,,
TPD-3,D,-5.14,-3.32,,,,,,,,,,,,,
TPD-3F,D,-5.32,-3.5,,,,,,,,,,,,,
TPDC-4F,A,-5.83,-3.99,1.42,765.0,717.0,-7.38,-2.29,2.17,572.6,11.35,-7.38,-2.29,2.17,572.6,11.35
TPDCIC,A,-5.38,-3.78,,,,,,,,,,,,,
TPDCNC,A,-5.37,-3.83,,,,,,,,,,,,,
TPQ-Cl,A,-5.64,-4.11,1.4,,,,,,,,,,,,
TPQ-F,A,-5.67,-3.91,1.43,,,,,,,,,,,,
TPQx-4F,A,-5.57,-3.74,1.41,813.0,748.0,,,,,,,,,,
TPQx-6F,A,-5.61,-3.78,1.43,805.0,740.0,,,,,,,,,,
TPT10,A,-5.52,-3.99,,,,,,,,,,,,,
TPT-2F,A,-5.84,-4.06,1.64,698.0,662.0,,,,,,,,,,
TPTT-2F,A,-5.75,-4.04,1.58,717.0,675.0,,,,,,,,,,
TPTTT-2F,A,-5.69,-4.01,1.56,724.0,687.0,,,,,,,,,,
TR2F-IC4F,A,-5.57,-3.94,1.4,820.0,730.0,,,,,,,,,,
TSeTIC,A,-5.65,-3.91,1.53,733.0,710.0,,,,,,,,,,
TT-FIC,A,-5.42,-4.13,,,,,,,,,,,,,
TTFQx-T1,D,-5.31,-3.62,1.69,652.0,606.0,-6.7,-1.42,2.49,498.5,59.367,-6.7,-1.42,2.49,498.5,59.367
TTIC,A,-5.51,-3.89,1.48,768.24,719.85,,,,,,,,,,
TTIC-F,A,-5.34,-3.88,1.35,828.0,756.0,,,,,,,,,,
TTIC-M,A,-5.3,-3.82,1.44,783.0,746.0,,,,,,,,,,
TTIDIC,A,-5.43,-3.92,1.46,766.0,705.0,-6.9,-1.95,2.29,540.5,18.817,-6.9,-1.95,2.29,540.5,18.817
TTPBT-IC,A,-5.69,-3.84,1.43,781.0,720.0,,,,,,,,,,
TTPTTT-2F,A,-5.67,-4.04,1.54,726.0,697.0,,,,,,,,,,
TTPTTT-4F,A,-5.69,-4.12,1.52,738.0,701.0,,,,,,,,,,
TTPTTT-IC,A,-5.64,-3.87,1.6,700.0,685.0,-7.69,-1.65,2.96,380.5,15.867,-7.69,-1.65,2.96,380.5,15.867
TTz1,A,-5.7,-3.86,1.65,675.0,578.0,,,,,,,,,,
TTz2,A,-5.5,-3.8,1.61,614.0,577.0,,,,,,,,,,
UF-Qx-2Cl,A,-5.55,-3.89,1.29,824.0,772.0,,,,,,,,,,
UF-Qx-2F,A,-5.53,-3.84,1.32,804.0,759.0,-7.11,-2.21,2.01,615.3,18.25,-7.11,-2.21,2.01,615.3,18.25
W1,D,-5.65,-4.1,,,,,,,,,,,,,
X1-PCIC,A,-5.35,-3.77,,,,,,,,,,,,,
X-PCIC,A,-5.37,-3.79,,,,,,,,,,,,,
Y1,A,-5.45,-3.95,,,,,,,,,,,,,
