,AorD,HOMO,LUMO,optbg,wavelength_film,wavelength_soln,HOMO,LUMO,optbg,max_abs,total_mins,sTDA_HOMO,sTDA_LUMO,sTDA_optbg,sTDA_max_abs,sTDA_total_mins
BDTN-Th,A,-5.5,-3.62,1.41,792.0,740.0,-7.16,-1.99,2.44,507.1,14.867,-7.16,-1.99,2.44,507.1,14.867
BDTP-4F,A,-5.61,-3.9,1.36,820.0,750.0,-7.3,-2.17,2.34,530.0,10.933,-7.3,-2.17,2.34,530.0,10.933
BDTS-2DPP,D,-5.28,-3.49,,624.0,,,,,,,,,,,
BDTS-4Cl,A,-5.45,-3.82,,,,,,,,,,,,,
BDTThIT-M,A,-5.35,-3.82,1.53,738.0,710.0,-7.14,-1.91,2.39,518.9,28.0,-7.14,-1.91,2.39,518.9,28.0
BFC-4F,A,-5.54,-3.82,1.45,,727.0,,,,,,,,,,
BIBT-NI,A,-5.62,-3.65,,503.0,,,,,,,,,,,
BID-4F,A,-5.69,-3.73,1.53,749.0,,,,,,,,,,,
Bis-PDI-T-di-EG,A,-5.57,-3.84,,545.0,560.0,,,,,,,,,,
BN-0F,A,-5.35,-3.94,1.41,801.0,759.0,-7.13,-1.94,2.32,535.2,14.85,-7.13,-1.94,2.32,535.2,14.85
BN-2F,A,-5.39,-3.99,1.4,808.0,764.0,-7.07,-2.02,2.19,565.4,14.45,-7.07,-2.02,2.19,565.4,14.45
BN-4F,A,-5.44,-4.06,1.38,816.0,768.0,-7.13,-2.03,2.25,550.6,15.233,-7.13,-2.03,2.25,550.6,15.233
BO2FC8,D,-5.5,-3.6,,,,,,,,,,,,,
BO2FEH,D,-5.59,-3.59,,,,,,,,,,,,,
BO2FIDT-4Cl,A,-5.73,-3.89,1.59,708.0,693.0,-7.21,-2.03,2.35,527.4,45.283,-7.21,-2.03,2.35,527.4,45.283
BO-4Cl,A,-5.68,-4.1,,,,,,,,,,,,,
BO-4F,A,-5.7,-4.01,1.4,811.0,733.0,,,,,,,,,,
BOC-4F,A,-5.4,-3.78,1.42,,755.0,,,,,,,,,,
BP4T-4F,A,-5.71,-3.91,1.33,826.0,732.0,,,,,,,,,,
BP5T-4F,A,-5.63,-3.88,1.34,813.0,735.0,-7.29,-2.09,2.41,514.4,10.183,-7.29,-2.09,2.41,514.4,10.183
B-PDI-B,A,-5.57,-3.95,,,,,,,,,,,,,
BPF-4F,A,-5.58,-3.98,1.36,,742.0,,,,,,,,,,
BPS-4F,A,-5.54,-4.0,1.29,,749.0,,,,,,,,,,
BPT-4F,A,-5.59,-4.0,1.36,,727.0,,,,,,,,,,
BPTCN,A,-5.38,-3.66,,569.0,,,,,,,,,,,
Br-ITIC,A,-5.73,-4.2,,,,,,,,,,,,,
BSCl-C1,D,-5.59,-3.34,1.87,533.5,506.5,,,,,,,,,,
BSCl-C2,D,-5.58,-3.39,1.82,566.8,506.5,,,,,,,,,,
BSCl-C3,D,-5.55,-3.37,1.84,569.7,506.0,,,,,,,,,,
BSFTR,D,-5.59,-3.61,,,,,,,,,,,,,
BT2,A,-5.5,-3.53,1.82,619.0,605.0,,,,,,,,,,
BT2b,A,-5.41,-3.56,1.75,646.0,621.0,-7.03,-1.8,2.3,538.7,8.95,-7.03,-1.8,2.3,538.7,8.95
BT2F-IC4F,A,-5.98,-4.31,1.38,703.0,724.0,-7.36,-2.45,2.03,610.1,10.767,-7.36,-2.45,2.03,610.1,10.767
BT2FIDT-4Cl,A,-5.7,-3.88,1.56,722.0,695.0,-7.1,-1.97,2.34,529.9,46.117,-7.1,-1.97,2.34,529.9,46.117
BT3,A,-5.26,-3.66,1.59,674.0,657.0,-7.16,-2.09,2.22,558.9,18.65,-7.16,-2.09,2.22,558.9,18.65
BT6IC-HD-4Cl,A,-5.57,-4.1,1.35,828.0,746.0,,,,,,,,,,
BTA1,A,-5.49,-3.57,1.85,610.0,593.0,-6.84,-1.43,2.48,500.2,18.5,-6.84,-1.43,2.48,500.2,18.5
BTA100,A,-5.32,-3.23,2.05,564.0,556.0,-6.56,-1.06,2.58,481.2,32.5,-6.56,-1.06,2.58,481.2,32.5
BTA101,A,-5.41,-3.55,1.88,606.0,593.0,-6.7,-1.3,2.51,494.8,23.35,-6.7,-1.3,2.51,494.8,23.35
BTA103,A,-5.37,-3.64,1.77,627.0,617.0,-6.96,-1.63,2.44,509.0,27.05,-6.96,-1.63,2.44,509.0,27.05
BTA11,A,-5.29,-3.53,,,,,,,,,,,,,
BTA13,A,-5.34,-3.62,,,,,,,,,,,,,
BTA17,A,-5.41,-3.69,,,,,,,,,,,,,
BTA2,A,-5.43,-3.38,2.0,573.0,558.0,-6.82,-1.33,2.5,495.2,17.817,-6.82,-1.33,2.5,495.2,17.817
BTA3,A,-5.49,-3.72,1.76,636.0,613.0,-7.04,-1.73,2.41,515.2,23.15,-7.04,-1.73,2.41,515.2,23.15
BTA4,A,-5.5,-3.65,,,,,,,,,,,,,
BTA43,A,-5.44,-3.47,1.78,644.0,600.0,-6.99,-1.74,2.36,524.7,23.55,-6.99,-1.74,2.36,524.7,23.55
BTA5,A,-5.55,-3.71,,,,,,,,,,,,,
BTA53,A,-5.48,-3.58,1.68,690.0,607.0,-7.04,-1.77,2.4,516.7,22.867,-7.04,-1.77,2.4,516.7,22.867
BTA7,A,-5.56,-3.66,,,,,,,,,,,,,
BT-BIC,A,-5.46,-3.73,1.52,748.0,688.0,-7.15,-1.91,2.41,515.5,12.833,-7.15,-1.91,2.41,515.5,12.833
BT-BO-L4F,A,-5.58,-3.98,1.32,837.0,762.0,-7.31,-2.2,2.31,536.7,13.45,-7.31,-2.2,2.31,536.7,13.45
BTC6-0F,A,-5.47,-3.71,1.48,685.0,711.0,-7.15,-2.06,2.18,569.0,17.217,-7.15,-2.06,2.18,569.0,17.217
BTC6-2F,A,-5.52,-3.8,1.44,700.0,720.0,-7.22,-2.17,2.17,572.1,13.267,-7.22,-2.17,2.17,572.1,13.267
BTC6-4F,A,-5.56,-3.86,1.43,781.0,724.0,-7.26,-2.25,2.14,579.1,13.217,-7.26,-2.25,2.14,579.1,13.217
BTCIC,A,-5.53,-4.0,1.36,723.0,734.0,-7.17,-2.21,2.02,615.1,10.983,-7.17,-2.21,2.02,615.1,10.983
BT-CIC,A,-5.49,-4.09,,,,,,,,,,,,,
BTCIC-4Cl,A,-5.64,-4.12,1.31,748.0,756.0,-7.25,-2.38,1.97,628.1,11.633,-7.25,-2.38,1.97,628.1,11.633
BT-Cl,A,-5.42,-3.71,1.31,842.0,759.0,,,,,,,,,,
BTCPDT,A,-5.54,-3.95,1.34,815.0,744.0,,,,,,,,,,
BTCPDTF,A,-5.64,-3.92,1.44,781.0,724.0,,,,,,,,,,
BTCPDTO4,A,-5.52,-3.9,1.38,795.0,752.0,,,,,,,,,,
BTCT-2Cl,A,-5.56,-3.95,,,,,,,,,,,,,
BT-dIDT,A,-5.34,-3.87,1.54,718.0,696.0,,,,,,,,,,
BTDT2R,A,-5.61,-3.73,1.88,550.0,530.0,-7.34,-1.85,2.41,514.7,7.117,-7.34,-1.85,2.41,514.7,7.117
BTDTP-4F,A,-5.56,-3.93,1.3,857.0,761.0,-7.22,-2.15,2.37,523.8,11.65,-7.22,-2.15,2.37,523.8,11.65
BT-F,A,-5.41,-3.7,1.33,811.0,696.0,,,,,,,,,,
BT-IC,A,-5.32,-3.85,1.43,,,-7.05,-1.97,2.32,535.1,22.8,-7.05,-1.97,2.32,535.1,22.8
BTIC-2Br-m,A,-5.56,-4.07,,820.0,734.0,,,,,,,,,,
BTIC-2Cl-yCF3,A,-5.55,-4.0,,,,,,,,,,,,,
BTIC-4Br,A,-5.57,-4.11,,825.0,746.0,,,,,,,,,,
BTIC-4EO-4Br,A,-5.45,-4.03,1.39,805.0,750.0,-7.41,-2.21,2.41,514.1,11.5,-7.41,-2.21,2.41,514.1,11.5
BTIC-4EO-4Cl,A,-5.72,-3.93,1.39,800.0,747.0,,,,,,,,,,
BTIC-4EO-4F,A,-5.63,-3.88,1.45,774.0,732.0,,,,,,,,,,
BTIC-4F,A,-5.71,-3.95,1.48,739.0,696.0,-7.41,-2.25,2.18,569.5,24.3,-7.41,-2.25,2.18,569.5,24.3
BT-IC4F,A,-5.89,-4.27,1.37,734.0,746.0,-7.27,-2.41,1.96,633.4,11.25,-7.27,-2.41,1.96,633.4,11.25
BTIC-BO-4Br,A,-5.53,-4.09,,823.0,747.0,,,,,,,,,,
BTIC-CF3-y,A,-5.45,-3.96,1.3,837.0,744.0,-7.41,-2.25,2.39,518.8,11.533,-7.41,-2.25,2.39,518.8,11.533
BTIC-Cl-m,A,-5.42,-3.91,1.34,822.0,733.0,,,,,,,,,,
BTIC-COOMe,A,-5.41,-3.89,,,,,,,,,,,,,
BTIC-F-m,A,-5.42,-3.9,1.36,805.0,724.0,-7.32,-2.11,2.41,514.3,10.333,-7.32,-2.11,2.41,514.3,10.333
BTIC-OCOMe,A,-5.35,-3.83,,,,,,,,,,,,,
BTIDIC,A,-5.48,-3.97,1.47,766.0,713.0,,,,,,,,,,
BT-L4F,A,-5.57,-4.0,1.32,838.0,762.0,,,,,,,,,,
BT-LIC,A,-5.42,-3.84,1.38,801.0,733.0,,,,,,,,,,
BTN-4F,A,-5.73,-4.15,1.33,834.0,742.0,,,,,,,,,,
BTOC6C8-IC4F,A,-5.52,-3.92,1.42,773.0,742.0,,,,,,,,,,
BTOIC,A,-5.42,-3.94,1.39,781.0,743.0,,,,,,,,,,
BTOR-IC4F,A,-5.92,-4.23,1.37,710.0,750.0,,,,,,,,,,
BTP,A,-5.52,-3.82,,,,,,,,,,,,,
BTP-1V,A,-5.54,-3.89,1.28,829.0,737.0,-7.73,-2.27,2.58,480.8,13.7,-7.73,-2.27,2.58,480.8,13.7
BTP-2Cl-delta,A,-5.57,-3.85,,,,,,,,,,,,,
BTP-2F-ThCl,A,-5.7,-3.99,1.34,839.0,741.0,,,,,,,,,,
BTP-2ThCl,A,-5.67,-3.95,1.35,829.0,750.0,,,,,,,,,,
BTP-2V,A,-5.43,-3.91,1.28,851.0,756.0,,,,,,,,,,
BTP-3V,A,-5.38,-3.9,1.22,814.0,768.0,,,,,,,,,,
BTP-4Cl,A,-5.66,-4.14,,,,-7.38,-2.22,2.39,519.5,13.183,-7.38,-2.22,2.39,519.5,13.183
BTP-4F,A,-5.68,-4.01,1.33,841.0,733.0,,,,,,,,,,
BTP-4F-12,A,-5.69,-3.97,,,,,,,,,,,,,
BTP-4F-C5-16,A,-5.73,-3.93,,,,,,,,,,,,,
BTP-4V,A,-5.34,-3.94,1.21,885.0,760.0,,,,,,,,,,
BTP-6F,A,-5.69,-3.97,,,,,,,,,,,,,
BTP-ClBr,A,-5.79,-4.0,1.38,826.0,746.0,,,,,,,,,,
BTP-ClBr1,A,-5.79,-4.03,1.33,742.0,747.0,-7.29,-2.08,2.41,471.8,11.333,-7.29,-2.08,2.41,471.8,11.333
BTP-ClBr2,A,-5.8,-4.04,1.33,743.0,754.0,,,,,,,,,,
BTP-M,A,-5.48,-3.81,,,,,,,,,,,,,
BTP-N,A,-5.63,-3.98,1.25,876.0,791.0,-7.65,-2.78,1.54,488.0,12.35,-7.65,-2.78,1.54,488.0,12.35
BTP-PhC6,A,-5.58,-3.85,,,,,,,,,,,,,
BTP-S,A,-5.66,-4.03,1.26,862.0,737.0,,,,,,,,,,
BTP-S1,A,-5.55,-4.01,,,,,,,,,,,,,
BTP-S2,A,-5.65,-4.01,,,,,,,,,,,,,
BTP-S7,A,-5.52,-4.08,,,,,,,,,,,,,
BTP-S8,A,-5.63,-4.09,,,,,,,,,,,,,
BTP-S9,A,-5.63,-4.09,,,,,,,,,,,,,
BTP-Se,A,-5.64,-4.04,1.24,853.0,778.0,,,,,,,,,,
BTPT-4F,A,-5.73,-4.0,,,,,,,,,,,,,
BTPTT-4F,A,-5.68,-4.06,,,,,,,,,,,,,
BTPV-4F,A,-5.39,-4.08,,,,,,,,,,,,,
BTPV-4F-eC9,A,-5.38,-4.06,,,,,,,,,,,,,
BTR,D,-5.34,-3.53,1.78,620.0,520.0,-6.69,-1.31,2.41,513.9,17.783,-6.69,-1.31,2.41,513.9,17.783
BTR-Cl,D,-5.46,-3.7,1.78,624.0,520.0,-6.87,-1.45,2.44,508.6,15.333,-6.87,-1.45,2.44,508.6,15.333
BTSe-4F,A,-5.78,-4.16,1.39,804.0,727.0,,,,,,,,,,
BTTBo-4F,A,-5.56,-3.85,1.45,738.0,705.0,,,,,,,,,,
BTTBo-4FN,A,-5.48,-3.86,1.4,763.0,727.0,,,,,,,,,,
BTTIC,A,-5.59,-3.86,1.47,759.0,724.0,,,,,,,,,,
BTTPC,A,-5.47,-3.78,1.39,798.0,734.0,,,,,,,,,,
BTTPC-Br,A,-5.54,-3.88,1.37,813.0,741.0,,,,,,,,,,
BTz-Np,A,-5.95,-3.44,1.82,,517.0,,,,,,,,,,
Bu-OD-4F,A,-5.68,-4.01,1.42,801.0,732.0,,,,,,,,,,
BZIC,A,-5.42,-3.88,1.45,,,,,,,,,,,,
BZIC-2Br,A,-5.85,-3.92,1.4,807.0,,,,,,,,,,,
C8IDT-Br,A,-5.73,-3.86,1.63,662.0,606.0,-7.8,-2.07,2.7,458.4,11.483,-7.8,-2.07,2.7,458.4,11.483
C8-ITCC,A,-5.45,-3.85,,,,,,,,,,,,,
C8-ITCC-Cl,A,-5.5,-3.93,,,,,,,,,,,,,
C8-ITIC,A,-5.63,-3.91,,,,,,,,,,,,,
