gen,max_abs,min_abs,med_abs,min_overlap,max_overlap,med_overlap,min_score,med_score,max_score
38,860.3470620994625,855.1979625737083,856.3949887466964,731.3368855302037,540.9033382900453,563.4025929698832,123.86107704350457,292.99239577681317,319.4437238094172
39,860.3470620994625,941.1318420399582,856.3949887466964,844.1106359606428,540.9033382900453,563.4025929698832,97.02120607931545,292.99239577681317,319.4437238094172
40,860.3470620994625,937.9303777025625,902.6780065160108,853.2338133886647,540.9033382900453,608.6991103893337,84.69656431389785,293.9788961266771,319.4437238094172
41,860.3470620994625,937.0271745612778,902.6780065160108,851.5118233394531,540.9033382900453,608.6991103893337,85.51535122182463,293.9788961266771,319.4437238094172
42,860.3470620994625,817.0458969832277,902.6780065160108,716.8445034670274,540.9033382900453,608.6991103893337,100.20139351620037,293.9788961266771,319.4437238094172
43,860.3470620994625,883.8669574292824,870.3961584041375,801.7968989697699,540.9033382900453,573.839045341151,82.07005845951244,296.55711306298656,319.4437238094172
44,860.3470620994625,924.2796701115568,802.7590292077227,819.9746157501345,540.9033382900453,506.1095750872072,104.30505436142232,296.64945412051554,319.4437238094172
45,860.3470620994625,918.6501550107595,802.7590292077227,828.2494810483472,540.9033382900453,506.1095750872072,90.40067396241227,296.64945412051554,319.4437238094172
46,860.3470620994625,966.4574151505824,802.7590292077227,883.0159989961342,540.9033382900453,506.1095750872072,83.44141615444823,296.64945412051554,319.4437238094172
47,860.3470620994625,982.8697667262517,802.7590292077227,952.8158927052591,540.9033382900453,506.1095750872072,30.053874020992566,296.64945412051554,319.4437238094172
48,860.3470620994625,879.1901547122683,875.2411515591642,788.2943801274489,540.9033382900453,578.18048407128,90.89577458481938,297.0606674878842,319.4437238094172
49,860.3470620994625,871.660255266903,875.2411515591642,749.6524658812813,540.9033382900453,578.18048407128,122.00778938562178,297.0606674878842,319.4437238094172
50,860.3470620994625,927.774089948956,875.2411515591642,827.3224555505495,540.9033382900453,578.18048407128,100.45163439840644,297.0606674878842,319.4437238094172
51,860.3470620994625,958.1847467155899,819.0349637190682,804.2987675388349,540.9033382900453,521.8094297405855,153.88597917675497,297.22553397848264,319.4437238094172
52,860.3470620994625,902.1600798601265,819.0349637190682,817.6473989379175,540.9033382900453,521.8094297405855,84.51268092220903,297.22553397848264,319.4437238094172
53,771.0550229594988,867.1635022145845,792.9635976050821,736.6634090081583,450.8756773459661,495.52410293386527,130.5000932064262,297.43949467121683,320.17934561353275
54,771.0550229594988,983.427530566305,858.2771023252608,937.7477012077617,450.8756773459661,559.6377117596327,45.679829358543316,298.6393905656281,320.17934561353275
55,771.0550229594988,802.8642020496283,858.2771023252608,657.4013872659804,450.8756773459661,559.6377117596327,145.4628147836479,298.6393905656281,320.17934561353275
56,771.0550229594988,985.080148244501,858.2771023252608,887.4058128221077,450.8756773459661,559.6377117596327,97.67433542239326,298.6393905656281,320.17934561353275
57,771.0550229594988,953.6846347259069,858.2771023252608,871.0418867163477,450.8756773459661,559.6377117596327,82.64274800955923,298.6393905656281,320.17934561353275
58,771.0550229594988,888.9750213610954,925.6649427722776,776.7096174349695,450.8756773459661,626.4490862189508,112.26540392612594,299.21585655332683,320.17934561353275
59,794.6873842935648,906.6342964375407,870.5431313639007,796.740039652473,441.43669950703776,570.6818408211662,109.89425678506768,299.8612905427344,353.2506847865271
60,794.6873842935648,907.7072647426306,988.3143259714845,835.0251789937884,441.43669950703776,688.2637814363977,72.68208574884227,300.05054453508683,353.2506847865271
61,794.6873842935648,976.3328870816845,988.3143259714845,904.3984190713707,441.43669950703776,688.2637814363977,71.93446801031382,300.05054453508683,353.2506847865271
62,794.6873842935648,866.1458050408055,988.3143259714845,724.1538615806248,441.43669950703776,688.2637814363977,141.99194346018066,300.05054453508683,353.2506847865271
63,794.6873842935648,909.6960900080463,855.1428404761766,860.5908673238744,441.43669950703776,554.2616259271362,49.10522268417196,300.88121454904046,353.2506847865271
64,794.6873842935648,941.4823085161642,855.1428404761766,805.2624038433705,441.43669950703776,554.2616259271362,136.21990467279363,300.88121454904046,353.2506847865271
65,794.6873842935648,987.352653838058,855.1428404761766,887.5996576190967,441.43669950703776,554.2616259271362,99.75299621896136,300.88121454904046,353.2506847865271
66,794.6873842935648,980.5457671870287,855.1428404761766,907.5881311633185,441.43669950703776,554.2616259271362,72.95763602371017,300.88121454904046,353.2506847865271
67,794.6873842935648,986.0694767801513,855.1428404761766,847.6061290606626,441.43669950703776,554.2616259271362,138.46334771948864,300.88121454904046,353.2506847865271
68,794.6873842935648,1038.2375813299514,855.1428404761766,975.3800502876463,441.43669950703776,554.2616259271362,62.85753104230503,300.88121454904046,353.2506847865271
69,794.6873842935648,982.8083622620358,855.1428404761766,895.4663267863102,441.43669950703776,554.2616259271362,87.34203547572554,300.88121454904046,353.2506847865271
70,794.6873842935648,906.8757301948392,855.1428404761766,763.8902986678398,441.43669950703776,554.2616259271362,142.98543152699938,300.88121454904046,353.2506847865271
71,794.6873842935648,871.4804147121578,855.1428404761766,730.7435415124008,441.43669950703776,554.2616259271362,140.73687319975693,300.88121454904046,353.2506847865271
72,794.6873842935648,919.3248247976456,855.1428404761766,769.842110612014,441.43669950703776,554.2616259271362,149.4827141856316,300.88121454904046,353.2506847865271
73,794.6873842935648,920.9816844388762,932.9667496633441,825.9695473342074,441.43669950703776,631.5077842408828,95.0121371046688,301.45896542246135,353.2506847865271
74,794.6873842935648,910.127365000078,932.9667496633441,809.0571806224184,441.43669950703776,631.5077842408828,101.07018437765964,301.45896542246135,353.2506847865271
75,794.6873842935648,1181.2088234661946,932.9667496633441,1146.4997830044913,441.43669950703776,631.5077842408828,34.70904046170335,301.45896542246135,353.2506847865271
