gen,pair,combined_abs,overlap,score
216,"[200, 633]",781.8977085109054,594.3733752103901,187.5243333005153
216,"[872, 851]",866.3741719214672,704.4807220651751,161.89344985629214
216,"[685, 822]",862.7520806746046,701.7805337127502,160.97154696185441
216,"[712, 904]",993.0187836557543,887.5697508575132,105.44903279824109
217,"[973, 373]",912.3244452784459,534.1618328119871,378.16261246645877
217,"[660, 909]",963.354620354939,597.1558992378694,366.19872111706957
217,"[660, 924]",982.373369482969,618.6217677936212,363.7516016893478
217,"[660, 906]",981.4301351599735,621.6049588489237,359.82517631104974
217,"[973, 902]",936.5012340963855,579.6809202000501,356.8203138963354
217,"[660, 633]",943.0196136129882,586.6640460408881,356.3555675721001
217,"[973, 851]",898.8041579815283,542.6183592263015,356.18579875522676
217,"[660, 549]",937.4620067277015,581.3643873936101,356.0976193340914
217,"[973, 806]",955.848275910234,601.9134218547821,353.93485405545186
217,"[929, 783]",794.6873842935648,441.43669950703776,353.2506847865271
217,"[973, 904]",1017.2575998953803,665.3924116854425,351.86518820993774
217,"[973, 706]",893.4509576708089,541.6374151967299,351.813542474079
217,"[973, 709]",893.4509576708089,541.6374151967299,351.813542474079
217,"[660, 709]",915.9862806323833,564.3533554968712,351.6329251355121
217,"[523, 373]",881.4965602650645,530.2730146748314,351.22354559023313
217,"[973, 822]",908.7548863996874,560.6612107832539,348.09367561643353
217,"[973, 909]",940.8192973933648,594.9844167100783,345.8348806832864
217,"[660, 822]",931.2902093612615,591.5647949429397,339.72541441832186
217,"[973, 843]",955.745882013905,620.1695230728562,335.57635894104874
217,"[523, 709]",862.6230726574277,538.1893365582681,324.43373609915955
217,"[660, 904]",507.21105182973565,186.1053647379948,321.10568709174083
217,"[660, 373]",456.002037927685,146.6890722803293,309.3129656473557
217,"[523, 783]",988.3143259714845,688.2637814363977,300.05054453508683
217,"[660, 190]",504.48544150657705,207.7565598770982,296.72888162947885
217,"[660, 706]",445.65077622555987,151.62484088074774,294.0259353448121
217,"[929, 437]",796.8060821661916,546.5486339584552,250.2574482077364
217,"[183, 902]",781.7971951373452,568.6668311554614,213.13036398188376
217,"[973, 666]",1092.455609991211,888.023001637825,204.43260835338606
217,"[236, 706]",781.498348710696,577.4662532053412,204.03209550535473
217,"[349, 924]",877.3831549334167,691.7245828728429,185.65857206057376
217,"[764, 904]",951.6816721265727,799.7857787231474,151.89589340342536
217,"[612, 909]",888.7921781571056,749.7352187747159,139.05695938238966
218,"[973, 373]",912.3244452784459,534.1618328119871,378.16261246645877
218,"[660, 909]",963.354620354939,597.1558992378694,366.19872111706957
218,"[660, 924]",982.373369482969,618.6217677936212,363.7516016893478
218,"[660, 906]",981.4301351599735,621.6049588489237,359.82517631104974
218,"[973, 902]",936.5012340963855,579.6809202000501,356.8203138963354
218,"[660, 633]",943.0196136129882,586.6640460408881,356.3555675721001
218,"[973, 851]",898.8041579815283,542.6183592263015,356.18579875522676
218,"[660, 549]",937.4620067277015,581.3643873936101,356.0976193340914
218,"[973, 806]",955.848275910234,601.9134218547821,353.93485405545186
218,"[929, 783]",794.6873842935648,441.43669950703776,353.2506847865271
218,"[973, 904]",1017.2575998953803,665.3924116854425,351.86518820993774
218,"[973, 706]",893.4509576708089,541.6374151967299,351.813542474079
218,"[973, 709]",893.4509576708089,541.6374151967299,351.813542474079
218,"[660, 709]",915.9862806323833,564.3533554968712,351.6329251355121
218,"[523, 373]",881.4965602650645,530.2730146748314,351.22354559023313
218,"[973, 822]",908.7548863996874,560.6612107832539,348.09367561643353
218,"[973, 924]",959.8380465213947,613.3115382739545,346.52650824744023
218,"[973, 909]",940.8192973933648,594.9844167100783,345.8348806832864
218,"[660, 822]",931.2902093612615,591.5647949429397,339.72541441832186
218,"[660, 783]",508.40959372384856,177.6736880022419,330.7359057216066
218,"[523, 806]",925.0203908968529,601.4677798334048,323.552611063448
218,"[660, 902]",467.6638827985829,156.69782876456983,310.96605403401304
218,"[929, 549]",690.4718570748261,398.96662696985146,291.5052301049746
218,"[929, 822]",684.3000597083865,393.16007956366377,291.1399801447227
218,"[660, 851]",449.7532016890681,161.34270164654475,288.4105000425233
218,"[829, 373]",668.5970940745194,408.2282086597696,260.3688854147498
218,"[579, 909]",807.2665648179559,577.6241540578734,229.6424107600825
218,"[544, 851]",706.4481890098482,478.8717579465284,227.57643106331977
218,"[76, 373]",726.4211955896556,513.1913365794413,213.22985901021423
218,"[575, 924]",824.0992566708904,611.6688750819028,212.43038158898764
218,"[430, 709]",804.6917998847448,625.1736397101707,179.51816017457406
218,"[75, 904]",941.8460981053995,778.5796814539194,163.26641665148009
219,"[973, 373]",912.3244452784459,534.1618328119871,378.16261246645877
219,"[660, 909]",963.354620354939,597.1558992378694,366.19872111706957
219,"[660, 924]",982.373369482969,618.6217677936212,363.7516016893478
219,"[660, 906]",981.4301351599735,621.6049588489237,359.82517631104974
219,"[973, 902]",936.5012340963855,579.6809202000501,356.8203138963354
219,"[660, 633]",943.0196136129882,586.6640460408881,356.3555675721001
219,"[973, 851]",898.8041579815283,542.6183592263015,356.18579875522676
219,"[660, 549]",937.4620067277015,581.3643873936101,356.0976193340914
219,"[973, 806]",955.848275910234,601.9134218547821,353.93485405545186
219,"[929, 783]",794.6873842935648,441.43669950703776,353.2506847865271
219,"[973, 904]",1017.2575998953803,665.3924116854425,351.86518820993774
219,"[973, 706]",893.4509576708089,541.6374151967299,351.813542474079
219,"[973, 709]",893.4509576708089,541.6374151967299,351.813542474079
219,"[660, 709]",915.9862806323833,564.3533554968712,351.6329251355121
219,"[523, 373]",881.4965602650645,530.2730146748314,351.22354559023313
219,"[973, 822]",908.7548863996874,560.6612107832539,348.09367561643353
219,"[660, 564]",503.860020244786,181.1376763649777,322.72234387980836
219,"[973, 906]",958.8948121983993,636.2849220142535,322.6098901841458
219,"[523, 902]",905.673349083004,583.5945267116283,322.07882237137574
219,"[660, 904]",507.21105182973565,186.1053647379948,321.10568709174083
219,"[660, 806]",477.4901737759838,160.4691255003465,317.0210482756373
219,"[660, 373]",456.002037927685,146.6890722803293,309.3129656473557
219,"[660, 766]",972.0366322764083,667.794707157281,304.24192511912736
219,"[929, 549]",690.4718570748261,398.96662696985146,291.5052301049746
219,"[660, 851]",449.7532016890681,161.34270164654475,288.4105000425233
219,"[929, 709]",668.9961309795078,381.85287702931794,287.1432539501899
219,"[660, 775]",543.0305995516748,264.35184343609666,278.6787561155781
219,"[523, 904]",986.429714881999,710.5453682121462,275.8843466698528
219,"[796, 906]",758.1004290736234,511.09072132408545,247.009707749538
219,"[973, 705]",1101.1231095284368,866.9139909529573,234.20911857547947
219,"[659, 709]",815.6806127303524,632.83897680102,182.84163592933248
219,"[161, 851]",752.937603533795,583.0701997153126,169.86740381848244
220,"[973, 373]",912.3244452784459,534.1618328119871,378.16261246645877
220,"[660, 909]",963.354620354939,597.1558992378694,366.19872111706957
220,"[660, 924]",982.373369482969,618.6217677936212,363.7516016893478
220,"[660, 906]",981.4301351599735,621.6049588489237,359.82517631104974
220,"[973, 902]",936.5012340963855,579.6809202000501,356.8203138963354
220,"[660, 633]",943.0196136129882,586.6640460408881,356.3555675721001
220,"[973, 851]",898.8041579815283,542.6183592263015,356.18579875522676
220,"[660, 549]",937.4620067277015,581.3643873936101,356.0976193340914
220,"[973, 806]",955.848275910234,601.9134218547821,353.93485405545186
220,"[929, 783]",794.6873842935648,441.43669950703776,353.2506847865271
220,"[973, 904]",1017.2575998953803,665.3924116854425,351.86518820993774
220,"[973, 706]",893.4509576708089,541.6374151967299,351.813542474079
220,"[973, 709]",893.4509576708089,541.6374151967299,351.813542474079
220,"[660, 709]",915.9862806323833,564.3533554968712,351.6329251355121
220,"[523, 373]",881.4965602650645,530.2730146748314,351.22354559023313
