gen,filename,PCE,donor
8,27_100_65,17.324225,PBCT-2F,
8,27_100_65,17.324225,PBCT-2F,
8,27_100_25,17.257341,PBCT-2F,
8,39_92_60,17.252293,PBCT-2F,
8,65_100_54,17.234160,PBCT-2F,
8,27_100_29,17.230527,PBCT-2F,
8,46_92_39,17.215895,PBCT-2F,
8,46_100_65,17.201888,PBCT-2F,
8,27_100_33,17.163327,PBCT-2F,
8,27_100_54,17.136221,PBCT-2F,
8,65_100_46,17.111834,PBCT-2F,
8,27_100_60,17.044524,PBCT-2F,
8,27_100_60,17.044524,PBCT-2F,
8,46_24_65,16.971707,PBCT-2F,
8,27_100_38,16.802137,PBCT-2F,
8,65_100_18,16.583274,PBCT-2F,
8,57_100_29,16.467175,PBCT-2F,
8,48_100_65,16.208658,PBCT-2F,
8,65_100_16,16.198042,PBCT-2F,
8,39_137_23,15.033586,PBB-F,
8,27_129_65,13.517143,PBB-F,
9,39_100_39,19.613084,PBCT-2F,
9,39_100_65,18.640794,PBCT-2F,
9,39_92_39,18.483326,PBCT-2F,
9,39_100_25,18.389821,PBCT-2F,
9,39_100_33,18.272800,PBCT-2F,
9,27_100_39,18.253739,PBCT-2F,
9,39_100_27,18.250027,PBCT-2F,
9,46_100_39,18.133978,PBCT-2F,
9,39_100_38,18.081066,PBCT-2F,
9,39_113_33,18.025173,PBCT-2F,
9,39_113_33,18.025173,PBCT-2F,
9,39_100_23,17.751622,PBCT-2F,
9,62_100_25,17.610269,PBCT-2F,
9,39_113_23,17.510350,PBCT-2F,
9,65_100_65,17.388254,PBCT-2F,
9,39_92_25,17.352088,PBCT-2F,
9,65_100_25,17.342178,PBCT-2F,
9,65_100_33,17.335043,PBCT-2F,
9,27_100_65,17.324225,PBCT-2F,
9,27_100_65,17.324225,PBCT-2F,
9,27_100_25,17.257341,PBCT-2F,
9,39_92_60,17.252293,PBCT-2F,
9,65_100_54,17.234160,PBCT-2F,
9,25_100_33,17.176777,PBCT-2F,
9,65_100_46,17.111834,PBCT-2F,
9,27_104_65,17.013731,PBCT-2F,
9,27_113_0,16.787824,PBCT-2F,
9,65_100_40,16.385617,PBCT-2F,
9,65_92_60,16.035721,PBCT-2F,
9,39_54_54,14.841150,PBB-F,
9,39_25_25,14.732953,PBB-F,
9,39_23_23,14.311899,PBB-F,
10,39_100_39,19.613084,PBCT-2F,
10,39_113_39,19.364376,PBCT-2F,
10,39_100_65,18.640794,PBCT-2F,
10,39_92_39,18.483326,PBCT-2F,
10,39_100_25,18.389821,PBCT-2F,
10,39_113_65,18.277765,PBCT-2F,
10,39_100_33,18.272800,PBCT-2F,
10,27_100_39,18.253739,PBCT-2F,
10,39_100_27,18.250027,PBCT-2F,
10,46_100_39,18.133978,PBCT-2F,
10,39_100_38,18.081066,PBCT-2F,
10,39_113_33,18.025173,PBCT-2F,
10,39_113_33,18.025173,PBCT-2F,
10,39_113_38,17.845357,PBCT-2F,
10,39_100_23,17.751622,PBCT-2F,
10,39_113_17,17.750685,PBCT-2F,
10,62_100_65,17.632616,PBCT-2F,
10,62_100_25,17.610269,PBCT-2F,
10,39_113_23,17.510350,PBCT-2F,
10,65_100_65,17.388254,PBCT-2F,
10,39_92_25,17.352088,PBCT-2F,
10,62_132_25,17.346580,PBCT-2F,
10,39_92_65,17.265853,PBCT-2F,
10,9_100_27,17.221431,PBCT-2F,
10,39_92_20,16.845952,PBCT-2F,
10,3_113_33,15.977287,PBCT-2F,
10,39_52_38,15.485956,D18,
10,39_70_38,15.470677,PBCT-2F,
10,39_33_33,15.140921,PBCT-2F,
10,39_33_33,15.140921,PBCT-2F,
10,39_25_25,14.732953,PBB-F,
10,39_23_23,14.311899,PBB-F,
11,39_100_39,19.613084,PBCT-2F,
11,39_113_39,19.364376,PBCT-2F,
11,39_108_39,18.755653,PBCT-2F,
11,39_100_65,18.640794,PBCT-2F,
11,39_92_39,18.483326,PBCT-2F,
11,39_100_66,18.393718,PBCT-2F,
11,39_100_25,18.389821,PBCT-2F,
11,39_100_54,18.369824,PBCT-2F,
11,39_113_65,18.277765,PBCT-2F,
11,39_100_33,18.272800,PBCT-2F,
11,27_100_39,18.253739,PBCT-2F,
11,39_100_27,18.250027,PBCT-2F,
11,39_113_62,18.248538,PBCT-2F,
11,46_100_39,18.133978,PBCT-2F,
11,39_113_60,18.084013,PBCT-2F,
11,39_100_38,18.081066,PBCT-2F,
11,39_100_17,18.046769,PBCT-2F,
11,39_113_33,18.025173,PBCT-2F,
11,39_113_33,18.025173,PBCT-2F,
11,39_113_38,17.845357,PBCT-2F,
11,39_113_47,17.781491,PBCT-2F,
11,39_100_23,17.751622,PBCT-2F,
11,39_113_17,17.750685,PBCT-2F,
11,39_100_31,17.711183,PBCT-2F,
11,39_100_24,17.705020,PBCT-2F,
11,39_113_52,17.469313,PBCT-2F,
11,39_113_21,17.146417,PBCT-2F,
11,39_92_38,16.948780,PBCT-2F,
11,30_100_27,16.854424,PBCT-2F,
11,39_18_27,15.169734,PBB-F,
11,39_33_33,15.140921,PBCT-2F,
11,39_17_33,14.653094,PBB-F,
12,39_130_39,19.782828,PBCT-2F,
12,39_100_39,19.613084,PBCT-2F,
12,39_118_39,19.526517,PBCT-2F,
12,39_113_39,19.364376,PBCT-2F,
12,39_108_39,18.755653,PBCT-2F,
12,39_100_65,18.640794,PBCT-2F,
12,39_92_39,18.483326,PBCT-2F,
12,39_100_66,18.393718,PBCT-2F,
12,39_100_25,18.389821,PBCT-2F,
12,39_100_54,18.369824,PBCT-2F,
12,39_113_65,18.277765,PBCT-2F,
12,39_100_33,18.272800,PBCT-2F,
12,27_100_39,18.253739,PBCT-2F,
12,39_100_27,18.250027,PBCT-2F,
12,39_113_62,18.248538,PBCT-2F,
12,46_100_39,18.133978,PBCT-2F,
12,39_113_60,18.084013,PBCT-2F,
12,39_100_38,18.081066,PBCT-2F,
12,39_100_2,17.848307,PBCT-2F,
12,39_108_29,17.214635,PBCT-2F,
12,39_92_44,17.036423,PBCT-2F,
12,44_100_65,16.872085,PBCT-2F,
12,27_113_60,16.650448,PBCT-2F,
12,27_113_60,16.650448,PBCT-2F,
12,2_100_60,16.575869,PBCT-2F,
12,39_66_66,15.877134,PBCT-2F,
12,39_33_33,15.140921,PBCT-2F,
12,39_33_33,15.140921,PBCT-2F,
12,46_39_39,15.028795,PBCT-2F,
12,39_38_38,14.916042,PBCT-2F,
12,39_80_33,14.799998,PBB-F,
12,39_25_25,14.732953,PBB-F,
13,39_130_39,19.782828,PBCT-2F,
13,39_100_39,19.613084,PBCT-2F,
13,39_118_39,19.526517,PBCT-2F,
13,39_113_39,19.364376,PBCT-2F,
13,39_108_39,18.755653,PBCT-2F,
13,39_134_39,18.695887,PBCT-2F,
13,39_100_65,18.640794,PBCT-2F,
13,39_92_39,18.483326,PBCT-2F,
13,39_100_66,18.393718,PBCT-2F,
13,39_100_25,18.389821,PBCT-2F,
13,39_118_65,18.385113,PBCT-2F,
13,39_100_6,18.378722,PBCT-2F,
13,39_100_54,18.369824,PBCT-2F,
13,39_100_49,18.293318,PBCT-2F,
13,39_113_65,18.277765,PBCT-2F,
13,39_100_33,18.272800,PBCT-2F,
13,27_100_39,18.253739,PBCT-2F,
13,39_100_27,18.250027,PBCT-2F,
13,39_113_62,18.248538,PBCT-2F,
13,39_113_25,18.148756,PBCT-2F,
13,46_100_39,18.133978,PBCT-2F,
13,39_113_54,17.965192,PBCT-2F,
13,53_130_39,17.506609,PBCT-2F,
13,27_100_62,17.443513,PBCT-2F,
13,30_100_65,17.113208,PBCT-2F,
13,39_108_54,17.105889,PBCT-2F,
13,35_108_39,17.035650,PBCT-2F,
13,18_100_54,16.563636,PBCT-2F,
13,53_100_65,16.403108,PBCT-2F,
13,39_93_39,16.197586,D18,
13,42_113_65,16.139979,PBCT-2F,
13,39_25_25,14.732953,PBB-F,
14,39_130_39,19.782828,PBCT-2F,
14,39_100_39,19.613084,PBCT-2F,
14,39_118_39,19.526517,PBCT-2F,
14,39_113_39,19.364376,PBCT-2F,
14,39_108_39,18.755653,PBCT-2F,
14,39_134_39,18.695887,PBCT-2F,
14,39_100_65,18.640794,PBCT-2F,
14,39_92_39,18.483326,PBCT-2F,
14,39_130_66,18.404870,PBCT-2F,
14,39_100_66,18.393718,PBCT-2F,
14,39_100_25,18.389821,PBCT-2F,
14,39_118_65,18.385113,PBCT-2F,
14,39_100_6,18.378722,PBCT-2F,
14,39_100_54,18.369824,PBCT-2F,
14,39_100_49,18.293318,PBCT-2F,
14,39_113_65,18.277765,PBCT-2F,
14,39_100_33,18.272800,PBCT-2F,
14,39_118_11,17.885936,PBCT-2F,
14,39_92_27,17.336317,PBCT-2F,
14,61_100_6,17.252228,PBCT-2F,
14,46_134_39,17.191913,PBCT-2F,
14,39_113_21,17.146417,PBCT-2F,
14,39_113_51,17.085143,PBCT-2F,
14,62_113_65,16.930000,PBCT-2F,
14,4_100_33,16.858513,PBCT-2F,
14,49_113_65,16.798967,PBCT-2F,
14,44_100_49,16.773355,PBCT-2F,
14,39_1_39,16.720318,D18,
14,39_65_65,16.008217,PBCT-2F,
14,39_65_65,16.008217,PBCT-2F,
14,39_66_66,15.877134,PBCT-2F,
14,39_16_25,14.935944,PBB-F,
15,39_130_39,19.782828,PBCT-2F,
15,39_100_39,19.613084,PBCT-2F,
15,39_118_39,19.526517,PBCT-2F,
15,39_113_39,19.364376,PBCT-2F,
15,39_108_39,18.755653,PBCT-2F,
15,39_134_39,18.695887,PBCT-2F,
15,39_100_65,18.640794,PBCT-2F,
15,39_92_39,18.483326,PBCT-2F,
15,39_130_66,18.404870,PBCT-2F,
15,39_100_66,18.393718,PBCT-2F,
15,39_100_25,18.389821,PBCT-2F,
15,39_118_65,18.385113,PBCT-2F,
15,39_100_6,18.378722,PBCT-2F,
15,39_100_54,18.369824,PBCT-2F,
15,39_100_49,18.293318,PBCT-2F,
15,39_113_65,18.277765,PBCT-2F,
15,39_113_1,18.109549,PBCT-2F,
15,39_118_54,18.014091,PBCT-2F,
15,39_100_45,17.991435,PBCT-2F,
15,39_118_66,17.974904,PBCT-2F,
15,39_100_53,17.718869,PBCT-2F,
15,39_130_31,17.643951,PBCT-2F,
15,39_108_6,17.589445,PBCT-2F,
15,39_101_39,17.489814,PBCT-2F,
15,39_100_22,17.434956,PBCT-2F,
15,39_92_25,17.352088,PBCT-2F,
15,39_92_49,17.332302,PBCT-2F,
15,39_92_30,17.211592,PBCT-2F,
15,39_108_53,16.618623,PBCT-2F,
15,39_18_39,16.539117,PBCT-2F,
15,39_65_65,16.008217,PBCT-2F,
15,39_66_66,15.877134,PBCT-2F,
16,39_130_39,19.782828,PBCT-2F,
16,39_100_39,19.613084,PBCT-2F,
16,39_118_39,19.526517,PBCT-2F,
16,39_113_39,19.364376,PBCT-2F,
16,39_108_39,18.755653,PBCT-2F,
16,39_134_39,18.695887,PBCT-2F,
16,39_100_65,18.640794,PBCT-2F,
16,39_92_39,18.483326,PBCT-2F,
16,39_100_64,18.457056,PBCT-2F,
16,39_130_66,18.404870,PBCT-2F,
16,39_100_66,18.393718,PBCT-2F,
16,39_100_25,18.389821,PBCT-2F,
16,39_118_65,18.385113,PBCT-2F,
16,39_100_6,18.378722,PBCT-2F,
16,39_100_54,18.369824,PBCT-2F,
16,39_135_54,18.344816,PBCT-2F,
16,39_100_49,18.293318,PBCT-2F,
16,39_118_6,18.284918,PBCT-2F,
16,39_113_65,18.277765,PBCT-2F,
16,39_118_49,18.189164,PBCT-2F,
16,39_113_25,18.148756,PBCT-2F,
16,39_100_4,18.145258,PBCT-2F,
16,29_113_39,18.044623,PBCT-2F,
16,39_100_21,17.555080,PBCT-2F,
16,39_5_39,17.477793,PBCT-2F,
16,33_108_39,17.397228,PBCT-2F,
16,33_100_49,17.177071,PBCT-2F,
16,39_134_31,16.624714,PBCT-2F,
16,39_71_65,16.351496,PBCT-2F,
16,39_66_66,15.877134,PBCT-2F,
16,39_54_54,14.841150,PBB-F,
16,39_54_54,14.841150,PBB-F,
17,39_130_39,19.782828,PBCT-2F,
17,39_100_39,19.613084,PBCT-2F,
17,39_118_39,19.526517,PBCT-2F,
17,39_113_39,19.364376,PBCT-2F,
17,39_108_39,18.755653,PBCT-2F,
17,39_134_39,18.695887,PBCT-2F,
17,39_100_65,18.640794,PBCT-2F,
17,39_130_64,18.629697,PBCT-2F,
17,39_135_65,18.606898,PBCT-2F,
17,39_135_64,18.541483,PBCT-2F,
17,39_92_39,18.483326,PBCT-2F,
17,39_100_64,18.457056,PBCT-2F,
17,39_130_66,18.404870,PBCT-2F,
17,39_100_66,18.393718,PBCT-2F,
17,39_100_25,18.389821,PBCT-2F,
17,39_118_65,18.385113,PBCT-2F,
17,39_100_6,18.378722,PBCT-2F,
17,39_100_54,18.369824,PBCT-2F,
17,39_135_1,18.350221,PBCT-2F,
17,39_135_54,18.344816,PBCT-2F,
17,39_100_56,18.277426,PBCT-2F,
17,39_118_66,17.974904,PBCT-2F,
17,39_135_31,17.678697,PBCT-2F,
17,65_100_65,17.388254,PBCT-2F,
17,39_134_64,17.274118,PBCT-2F,
17,39_108_46,17.152940,PBCT-2F,
17,49_100_64,17.086629,PBCT-2F,
17,39_65_65,16.008217,PBCT-2F,
17,39_120_54,15.987999,D18,
17,39_6_6,14.851777,PBB-F,
17,39_54_54,14.841150,PBB-F,
17,35_118_65,0.000000,bad file,
18,39_130_39,19.782828,PBCT-2F,
18,39_100_39,19.613084,PBCT-2F,
18,39_118_39,19.526517,PBCT-2F,
18,39_113_39,19.364376,PBCT-2F,
18,39_108_39,18.755653,PBCT-2F,
18,39_134_39,18.695887,PBCT-2F,
18,39_100_65,18.640794,PBCT-2F,
18,39_130_64,18.629697,PBCT-2F,
18,39_135_65,18.606898,PBCT-2F,
18,39_130_65,18.599376,PBCT-2F,
18,39_135_64,18.541483,PBCT-2F,
18,39_92_39,18.483326,PBCT-2F,
18,39_100_64,18.457056,PBCT-2F,
18,39_135_66,18.431560,PBCT-2F,
18,39_130_66,18.404870,PBCT-2F,
18,39_100_66,18.393718,PBCT-2F,
18,39_100_25,18.389821,PBCT-2F,
18,39_118_65,18.385113,PBCT-2F,
18,32_130_39,18.269731,PBCT-2F,
18,39_130_4,18.244861,PBCT-2F,
18,39_113_66,18.097790,PBCT-2F,
18,39_113_64,17.959093,PBCT-2F,
18,39_113_61,17.892095,PBCT-2F,
18,39_60_39,17.669690,PBCT-2F,
18,39_130_53,17.643893,PBCT-2F,
18,39_92_64,17.291732,PBCT-2F,
18,39_134_10,17.227574,PBCT-2F,
18,39_134_38,17.214521,PBCT-2F,
18,15_135_64,17.057627,PBCT-2F,
18,39_1_39,16.720318,D18,
18,22_92_39,16.617835,PBCT-2F,
18,39_49_64,15.332561,PBCT-2F,
19,39_135_39,19.817874,PBCT-2F,
19,39_130_39,19.782828,PBCT-2F,
19,39_100_39,19.613084,PBCT-2F,
19,39_118_39,19.526517,PBCT-2F,
19,39_113_39,19.364376,PBCT-2F,
19,39_108_39,18.755653,PBCT-2F,
19,39_134_39,18.695887,PBCT-2F,
19,39_100_65,18.640794,PBCT-2F,
19,39_130_64,18.629697,PBCT-2F,
19,39_135_65,18.606898,PBCT-2F,
19,39_130_65,18.599376,PBCT-2F,
19,39_135_64,18.541483,PBCT-2F,
19,39_92_39,18.483326,PBCT-2F,
19,39_100_64,18.457056,PBCT-2F,
19,39_130_60,18.451285,PBCT-2F,
19,39_135_66,18.431560,PBCT-2F,
19,39_130_66,18.404870,PBCT-2F,
19,39_100_66,18.393718,PBCT-2F,
19,39_100_56,18.277426,PBCT-2F,
19,39_100_41,18.099566,PBCT-2F,
19,39_113_66,18.097790,PBCT-2F,
19,39_100_53,17.718869,PBCT-2F,
19,39_135_42,17.670239,PBCT-2F,
19,65_100_65,17.388254,PBCT-2F,
19,39_92_66,17.326995,PBCT-2F,
19,39_108_64,17.269420,PBCT-2F,
19,39_92_5,16.919488,D18,
19,20_92_39,16.836539,PBCT-2F,
19,39_39_39,16.559455,PBCT-2F,
19,39_65_65,16.008217,PBCT-2F,
19,39_64_64,15.960278,PBCT-2F,
19,39_93_64,14.980861,PBB-F,
20,39_135_39,19.817874,PBCT-2F,
20,39_130_39,19.782828,PBCT-2F,
20,39_100_39,19.613084,PBCT-2F,
20,39_118_39,19.526517,PBCT-2F,
20,39_113_39,19.364376,PBCT-2F,
20,39_108_39,18.755653,PBCT-2F,
20,39_134_39,18.695887,PBCT-2F,
20,39_100_65,18.640794,PBCT-2F,
20,39_130_64,18.629697,PBCT-2F,
20,39_135_65,18.606898,PBCT-2F,
20,39_130_65,18.599376,PBCT-2F,
20,39_135_64,18.541483,PBCT-2F,
20,39_92_39,18.483326,PBCT-2F,
20,39_100_64,18.457056,PBCT-2F,
20,39_130_60,18.451285,PBCT-2F,
20,39_135_66,18.431560,PBCT-2F,
20,39_130_66,18.404870,PBCT-2F,
20,39_130_66,18.404870,PBCT-2F,
20,39_130_66,18.404870,PBCT-2F,
20,39_130_32,18.241578,PBCT-2F,
20,39_130_11,18.175083,PBCT-2F,
20,39_135_7,17.682039,PBCT-2F,
20,39_130_51,17.660927,PBCT-2F,
20,39_134_64,17.274118,PBCT-2F,
20,39_134_12,17.044242,PBCT-2F,
20,39_113_22,16.906408,PBCT-2F,
20,39_9_39,16.308395,PBCT-2F,
20,25_92_64,16.231763,PBCT-2F,
20,20_135_65,16.168964,PBCT-2F,
20,39_65_65,16.008217,PBCT-2F,
20,39_64_64,15.960278,PBCT-2F,
20,39_73_64,15.788105,D18,
21,39_135_39,19.817874,PBCT-2F,
21,39_130_39,19.782828,PBCT-2F,
21,39_100_39,19.613084,PBCT-2F,
21,39_118_39,19.526517,PBCT-2F,
21,39_115_39,19.422893,PBCT-2F,
21,39_113_39,19.364376,PBCT-2F,
21,39_108_39,18.755653,PBCT-2F,
