gen,max_abs,min_abs,med_abs,min_overlap,max_overlap,med_overlap,min_score,med_score,max_score
16,421.866617888958,456.9530047487183,505.42021976248935,198.4797940709662,164.79051514414604,169.15811732378234,223.3868238179918,292.1624896045722,336.262102438707
17,390.67201847698624,424.83547384632016,505.42021976248935,172.9655941059284,130.65365170636406,169.15811732378234,217.70642437105784,294.1818221399561,336.262102438707
18,443.67821184938197,412.57257964988025,505.42021976248935,226.43529283313538,118.1098949844467,169.15811732378234,217.2429190162466,294.4626846654336,336.262102438707
19,457.0947585361974,412.57257964988025,505.42021976248935,220.82090551301008,118.1098949844467,169.15811732378234,236.2738530231873,294.4626846654336,336.262102438707
20,351.59816571487164,412.57257964988025,505.42021976248935,104.10937582169991,118.1098949844467,169.15811732378234,247.4887898931717,294.4626846654336,336.262102438707
21,376.2193493677303,460.53938684715916,505.42021976248935,143.45258915181205,166.0201425224044,169.15811732378234,232.76676021591823,294.51924432475477,336.262102438707
22,419.7385153512038,462.1301309095353,505.42021976248935,187.8900735385609,163.30529490259073,169.15811732378234,231.84844181264287,298.82483600694457,336.262102438707
23,410.8507529151404,436.26362726904415,533.3546966608842,189.79075432076993,136.85073684782665,193.9708478602489,221.05999859437046,299.4128904212175,339.3838488006353
24,399.3948831318535,460.8026156075766,533.3546966608842,145.01364675214606,156.65081283793154,193.9708478602489,254.38123637970742,304.1518027696451,339.3838488006353
25,330.57003797239946,480.38839399296495,533.3546966608842,99.90836149734983,169.94776722268819,193.9708478602489,230.66167647504963,310.44062677027677,339.3838488006353
26,481.949627828416,480.38839399296495,533.3546966608842,244.82405927840887,169.94776722268819,193.9708478602489,237.12556855000713,310.44062677027677,339.3838488006353
27,419.8614631041515,502.4754938453861,533.3546966608842,197.05019506299405,190.97815402094875,193.9708478602489,222.81126804115743,311.49733982443735,339.3838488006353
28,383.51294048958755,502.4754938453861,533.3546966608842,159.807598807655,190.97815402094875,193.9708478602489,223.70534168193254,311.49733982443735,339.3838488006353
29,501.5130325843071,483.1185291185295,533.3546966608842,274.76198814571757,170.8703597294592,193.9708478602489,226.75104443858953,312.2481693890703,339.3838488006353
30,517.0784350741594,483.1185291185295,533.3546966608842,318.61346677174026,170.8703597294592,193.9708478602489,198.46496830241915,312.2481693890703,339.3838488006353
31,385.06682335935824,483.1185291185295,533.3546966608842,156.25995809229752,170.8703597294592,193.9708478602489,228.80686526706072,312.2481693890703,339.3838488006353
32,435.76224940803166,483.1185291185295,533.3546966608842,203.98938762274094,170.8703597294592,193.9708478602489,231.77286178529073,312.2481693890703,339.3838488006353
33,363.4675060788367,506.49644776681413,533.3546966608842,147.47153956439018,194.06506495198533,193.9708478602489,215.99596651444654,312.4313828148288,339.3838488006353
34,389.6916899571247,473.7179171676287,533.3546966608842,154.3331911649384,161.0319970188972,193.9708478602489,235.3584987921863,312.6859201487315,339.3838488006353
