gen,pair,combined_abs,overlap,score
5,"[213, 881]",460.53938684715916,166.0201425224044,294.51924432475477
5,"[380, 881]",453.44040721419964,159.22864437976745,294.2117628344322
5,"[456, 881]",450.99981373420843,160.82905132486857,290.1707624093399
5,"[984, 202]",519.7152837671856,233.28534401766632,286.4299397495193
5,"[896, 202]",450.5586912737406,164.5022147833022,286.0564764904384
5,"[423, 881]",433.5459573157845,150.0884625052808,283.4574948105037
5,"[456, 378]",446.30120193280334,162.99810824756062,283.30309368524274
5,"[984, 547]",431.2732709151699,150.66847477893694,280.60479613623295
5,"[624, 854]",412.97192802676614,137.622091589843,275.34983643692317
5,"[158, 881]",413.1365904959508,139.64826396719258,273.48832652875825
5,"[50, 881]",441.3035437629939,168.14489410950083,273.15864965349306
5,"[896, 234]",381.9344779923976,113.33754184883729,268.5969361435603
5,"[896, 854]",368.8471613028453,103.20123755735514,265.6459237454901
5,"[456, 202]",465.29487773890486,199.78625816416564,265.5086195747392
5,"[984, 526]",473.3978014520843,208.93025589019925,264.46754556188506
5,"[456, 526]",418.9773954238034,155.68100362233596,263.2963918014674
5,"[423, 202]",447.841021320481,185.29255340130217,262.54846791917885
5,"[896, 429]",424.8383663177434,163.56692437169718,261.27144194604625
5,"[227, 202]",470.60681662332865,213.12132999964797,257.4854866236807
5,"[102, 916]",386.500976409696,130.08471852140775,256.41625788828827
5,"[896, 848]",351.9511079897072,101.28373162492638,250.66737636478086
5,"[423, 526]",401.5235390053795,152.25155061241725,249.27198839296227
5,"[456, 854]",383.5833477680096,134.8919933979833,248.69135437002632
5,"[50, 202]",455.5986077676903,209.90719485170376,245.69141291598652
5,"[213, 916]",383.0460420759875,138.1485346542002,244.89750742178728
5,"[418, 916]",377.2833875297146,137.2000010843517,240.08338644536292
5,"[423, 655]",385.98405012510074,158.31744196346077,227.66660816163997
5,"[50, 453]",365.94250614370924,141.6244497909937,224.31805635271553
5,"[50, 547]",367.15659491567465,147.39616617088134,219.7604287447933
5,"[158, 226]",382.83482775425824,167.93320363416666,214.90162412009158
6,"[984, 881]",505.42021976248935,169.15811732378234,336.262102438707
6,"[102, 881]",463.9943211808677,163.75717399839792,300.2371471824698
6,"[896, 881]",436.26362726904415,136.85073684782665,299.4128904212175
6,"[213, 881]",460.53938684715916,166.0201425224044,294.51924432475477
6,"[380, 881]",453.44040721419964,159.22864437976745,294.2117628344322
6,"[456, 881]",450.99981373420843,160.82905132486857,290.1707624093399
6,"[8, 881]",457.07544424490305,169.96166575129732,287.11377849360576
6,"[984, 202]",519.7152837671856,233.28534401766632,286.4299397495193
6,"[896, 202]",450.5586912737406,164.5022147833022,286.0564764904384
6,"[984, 234]",451.09107048584275,166.97440141459123,284.1166690712515
6,"[423, 881]",433.5459573157845,150.0884625052808,283.4574948105037
6,"[456, 378]",446.30120193280334,162.99810824756062,283.30309368524274
6,"[984, 547]",431.2732709151699,150.66847477893694,280.60479613623295
6,"[838, 881]",446.02864219148256,167.60447944659742,278.42416274488517
6,"[624, 854]",412.97192802676614,137.622091589843,275.34983643692317
6,"[742, 881]",406.3801355488245,132.44958611941271,273.9305494294118
6,"[158, 881]",413.1365904959508,139.64826396719258,273.48832652875825
6,"[50, 881]",441.3035437629939,168.14489410950083,273.15864965349306
6,"[896, 234]",381.9344779923976,113.33754184883729,268.5969361435603
6,"[896, 854]",368.8471613028453,103.20123755735514,265.6459237454901
6,"[456, 202]",465.29487773890486,199.78625816416564,265.5086195747392
6,"[947, 881]",387.5813653610128,122.1438011103793,265.4375642506335
6,"[896, 114]",404.2273173955785,144.89659788309442,259.33071951248405
6,"[456, 234]",396.6706644575619,139.59590256891317,257.0747618886487
6,"[451, 881]",425.27370824319536,168.20371535469536,257.0699928885
6,"[896, 547]",362.1166784217249,105.81729205824784,256.299386363477
6,"[18, 202]",468.6471614680399,218.61597405419616,250.03118741384372
6,"[456, 854]",383.5833477680096,134.8919933979833,248.69135437002632
6,"[50, 202]",455.5986077676903,209.90719485170376,245.69141291598652
