gen,filename,PCE,donor
9,8_50_86_50_15,16.552327,PBCT-2F,
9,65_27_86_162_65,16.501494,PBCT-2F,
9,9_106_86_6_9,16.482899,PBCT-2F,
9,65_162_86_162_46,16.430562,PBCT-2F,
9,9_61_86_126_3,16.305338,PBCT-2F,
9,65_162_86_162_15,16.295676,PBCT-2F,
9,65_41_86_41_22,16.096916,PBCT-2F,
9,58_6_86_6_58,15.776823,PBCT-2F,
9,65_162_122_41_65,13.708360,PBB-F,
10,9_50_86_50_39,18.622402,PBCT-2F,
10,9_6_86_6_39,18.000768,PBCT-2F,
10,25_50_86_50_25,17.239766,PBCT-2F,
10,65_50_86_50_15,17.108966,PBCT-2F,
10,15_50_86_50_9,17.096493,PBCT-2F,
10,9_50_86_50_15,17.076714,PBCT-2F,
10,25_71_86_71_25,17.029265,PBCT-2F,
10,25_71_86_71_1,16.924567,PBCT-2F,
10,65_12_86_6_65,16.862855,PBCT-2F,
10,25_6_86_12_25,16.860139,PBCT-2F,
10,28_50_86_50_28,16.854673,PBCT-2F,
10,35_50_86_50_9,16.832923,PBCT-2F,
10,9_50_86_50_35,16.830052,PBCT-2F,
10,65_6_86_6_30,16.774225,PBCT-2F,
10,65_6_86_6_65,16.763455,PBCT-2F,
10,25_6_86_6_25,16.750361,PBCT-2F,
10,9_6_86_61_9,16.720414,PBCT-2F,
10,65_6_86_106_65,16.698011,PBCT-2F,
10,65_162_86_41_65,16.697158,PBCT-2F,
10,25_162_86_162_25,16.695031,PBCT-2F,
10,15_50_86_131_15,16.694605,PBCT-2F,
10,65_41_86_162_65,16.663389,PBCT-2F,
10,15_6_86_43_41,16.539422,PBCT-2F,
10,65_61_86_61_47,16.518896,PBCT-2F,
10,15_71_86_71_15,16.502696,PBCT-2F,
10,65_6_86_56_20,16.362337,PBCT-2F,
10,25_6_86_6_67,16.265037,PBCT-2F,
10,15_6_86_35_15,16.172527,PBCT-2F,
10,15_41_86_77_18,15.820082,PBCT-2F,
10,15_68_86_68_15,15.791583,PBCT-2F,
10,16_50_86_106_16,15.459871,PBCT-2F,
10,25_6_12_41_25,14.140887,PBB-F,
11,39_50_86_50_9,18.642794,PBCT-2F,
11,9_50_86_50_39,18.622402,PBCT-2F,
11,9_71_86_71_39,18.346017,PBCT-2F,
11,9_6_86_6_39,18.000768,PBCT-2F,
11,25_50_86_50_25,17.239766,PBCT-2F,
11,15_50_86_50_65,17.194716,PBCT-2F,
11,65_50_86_50_15,17.108966,PBCT-2F,
11,15_50_86_50_9,17.096493,PBCT-2F,
11,9_50_86_50_15,17.076714,PBCT-2F,
11,25_71_86_71_25,17.029265,PBCT-2F,
11,25_71_86_71_1,16.924567,PBCT-2F,
11,65_12_86_6_65,16.862855,PBCT-2F,
11,25_6_86_12_25,16.860139,PBCT-2F,
11,28_50_86_50_28,16.854673,PBCT-2F,
11,1_71_86_71_25,16.838377,PBCT-2F,
11,35_50_86_50_9,16.832923,PBCT-2F,
11,9_50_86_50_35,16.830052,PBCT-2F,
11,65_6_86_6_9,16.784438,PBCT-2F,
11,65_6_86_6_30,16.774225,PBCT-2F,
11,65_6_86_6_65,16.763455,PBCT-2F,
11,25_6_86_6_25,16.750361,PBCT-2F,
11,63_6_86_6_63,16.728956,PBCT-2F,
11,35_50_86_50_44,16.650095,PBCT-2F,
11,25_6_86_160_46,16.593613,PBCT-2F,
11,15_6_86_6_65,16.586259,PBCT-2F,
11,35_50_86_50_68,16.494383,PBCT-2F,
11,9_12_86_12_35,16.369811,PBCT-2F,
11,9_6_86_6_35,16.338863,PBCT-2F,
11,28_6_86_141_28,16.253394,PBCT-2F,
11,35_6_86_6_9,16.218544,PBCT-2F,
11,65_6_86_24_52,16.201249,PBCT-2F,
11,35_45_86_45_35,15.354405,PBCT-2F,
12,39_50_86_50_9,18.642794,PBCT-2F,
12,9_50_86_50_39,18.622402,PBCT-2F,
12,9_71_86_71_39,18.346017,PBCT-2F,
12,9_6_86_6_39,18.000768,PBCT-2F,
12,43_71_86_71_39,17.838729,PBCT-2F,
12,25_50_86_50_25,17.239766,PBCT-2F,
12,15_50_86_50_65,17.194716,PBCT-2F,
12,1_50_86_50_25,17.160265,PBCT-2F,
12,65_50_86_50_15,17.108966,PBCT-2F,
12,15_50_86_50_9,17.096493,PBCT-2F,
12,9_50_86_50_15,17.076714,PBCT-2F,
12,25_50_86_50_15,17.045109,PBCT-2F,
12,28_50_86_50_25,17.043974,PBCT-2F,
12,9_50_86_50_32,17.037596,PBCT-2F,
12,25_71_86_71_25,17.029265,PBCT-2F,
12,33_50_86_50_33,17.028344,PBCT-2F,
12,25_71_86_71_1,16.924567,PBCT-2F,
12,65_12_86_6_65,16.862855,PBCT-2F,
12,25_6_86_12_25,16.860139,PBCT-2F,
12,28_50_86_50_28,16.854673,PBCT-2F,
12,65_6_86_12_65,16.845963,PBCT-2F,
